qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	staxids	organism_name	superkingdom	kingdom	phylum	class	order	family	genus	species
contig_1029_11	QFG74176.1	35.9	326	181	8	5	309	10	328	8.15e-51	176.0	1737588.0	Megaviridae environmental sample	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Megaviridae environmental sample
contig_103_5	QBK86221.1	31.0	155	92	4	581	720	293	447	1.01e-12	75.9	2506603.0	Marseillevirus LCMAC102	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	N/A	Marseillevirus LCMAC102
contig_1031_9	QDY52327.1	32.0	256	159	7	14	262	18	265	1.15e-18	87.0	2596887.0	Mimiviridae sp. ChoanoV1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Schizomimiviridae	N/A	Mimiviridae sp. ChoanoV1
contig_1032_1	ARF10911.1	27.5	393	251	16	230	606	214	588	5.77e-21	102.0	1977638.0	Hokovirus HKV1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Hokovirus	Hokovirus HKV1
contig_1033_4	YP_009001498.1	29.3	225	138	7	3	222	464	672	1.85e-18	91.3	62099.0	Alphaentomopoxvirus acuprea	N/A	Bamfordvirae	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Alphaentomopoxvirus	Alphaentomopoxvirus acuprea
contig_1033_9	QDY52220.1	29.6	216	128	5	13	217	350	552	2.4e-18	87.8	2596887.0	Mimiviridae sp. ChoanoV1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Schizomimiviridae	N/A	Mimiviridae sp. ChoanoV1
contig_1034_1	YP_009174129.1	29.2	343	230	6	36	372	1	336	1.7e-34	133.0	1586712.0	Yellowstone lake mimivirus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Yellowstone lake mimivirus
contig_1034_4	WGU26824.1	37.9	356	219	2	3	357	34	388	1.2e-79	258.0	4568.0	Triticum monococcum	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Triticum	Triticum monococcum
contig_1035_11	QDY52194.1	25.3	296	193	11	126	398	142	432	2.09e-10	66.6	2596887.0	Mimiviridae sp. ChoanoV1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Schizomimiviridae	N/A	Mimiviridae sp. ChoanoV1
contig_1035_19	QDY52194.1	24.0	350	236	13	68	395	91	432	2.04e-10	66.6	2596887.0	Mimiviridae sp. ChoanoV1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Schizomimiviridae	N/A	Mimiviridae sp. ChoanoV1
contig_1035_24	QPI16652.1	33.0	312	172	10	116	406	138	433	2.54e-30	125.0	2763270.0	Virus NIOZ-UU159	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Virus NIOZ-UU159
contig_1036_23	ADR73020.1	29.5	193	118	5	8	198	124	300	5.71e-11	64.7	137758.0	Cassava brown streak virus	N/A	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Ipomovirus	Ipomovirus brunusmanihotis
contig_1037_11	QYA18718.1	37.9	124	72	3	18	139	11	131	1.78e-16	77.0	2831644.0	Clandestinovirus	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Clandestinovirus
contig_1037_21	APU89181.1	40.5	84	50	0	25	108	261	344	1.91e-13	69.7	1924550.0	Virus Rctr71	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Virus Rctr71
contig_1038_15	YP_009507583.1	36.4	129	62	2	1	109	1	129	2.87e-14	73.6	97195.0	Heterosigma akashiwo virus 01	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Raphidovirus	Raphidovirus japonicum
contig_1039_3	AII17161.1	42.9	56	32	0	8	63	179	234	6.35e-08	51.2	1474867.0	Aureococcus anophagefferens virus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Schizomimiviridae	Kratosvirus	Kratosvirus quantuckense
contig_1039_4	QBK86710.1	41.1	107	50	3	146	252	124	217	1.38e-10	63.5	2506604.0	Marseillevirus LCMAC103	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	N/A	Marseillevirus LCMAC103
contig_1041_2	QDY52114.1	25.6	195	128	4	1	195	228	405	1.15e-11	67.8	2596887.0	Mimiviridae sp. ChoanoV1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Schizomimiviridae	N/A	Mimiviridae sp. ChoanoV1
contig_1041_4	ARF12087.1	30.6	369	235	8	2	353	1	365	2.1299999999999997e-42	157.0	1977640.0	Klosneuvirus KNV1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Klosneuvirus	Klosneuvirus KNV1
contig_1041_7	AYV78120.1	26.9	264	155	8	104	362	65	295	5.88e-18	88.6	2487765.0	Edafosvirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Edafosvirus sp.
contig_1041_10	APU89108.1	31.3	144	91	3	43	182	149	288	1.11e-13	72.0	1924551.0	Virus Rctr85	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Virus Rctr85
contig_1041_11	AYV78471.1	29.4	425	225	15	48	460	107	468	7.72e-26	113.0	2487765.0	Edafosvirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Edafosvirus sp.
contig_1041_12	AYV77401.1	43.1	65	34	2	123	186	202	264	8.84e-09	57.4	2487764.0	Dasosvirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Dasosvirus sp.
contig_1041_15	WGU26824.1	37.4	374	232	2	21	393	33	405	9.07e-74	246.0	4568.0	Triticum monococcum	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Triticum	Triticum monococcum
contig_1041_21	QBK88329.1	32.8	204	122	6	2	201	69	261	4.65e-21	92.8	2506606.0	Marseillevirus LCMAC202	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	N/A	Marseillevirus LCMAC202
contig_1041_23	QPI16596.1	31.2	125	75	5	7	125	20	139	1.4e-08	54.7	2763270.0	Virus NIOZ-UU159	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Virus NIOZ-UU159
contig_1042_1	QBK90293.1	28.2	397	248	11	205	569	192	583	3.01e-33	138.0	2506587.0	Pithovirus LCPAC102	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Pithovirus LCPAC102
contig_1042_2	ATZ80560.1	23.8	172	130	1	362	533	89	259	1.05e-09	64.3	2024608.0	Bodo saltans virus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Theiavirus	Theiavirus salishense
contig_1042_6	QBK90293.1	49.2	63	32	0	17	79	596	658	1.77e-14	70.1	2506587.0	Pithovirus LCPAC102	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Pithovirus LCPAC102
contig_1043_3	AYV77123.1	39.5	339	172	9	1	323	1	322	2.3099999999999997e-68	220.0	2487763.0	Barrevirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Barrevirus sp.
contig_1043_4	QBP06512.1	29.9	127	76	5	54	180	31	144	3.46e-07	53.1	880162.0	Ostreococcus lucimarinus virus 1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prasinovirus	Ostreococcus lucimarinus virus 1
contig_1043_6	QOR60244.1	24.6	260	163	10	3	235	142	395	5.69e-07	53.9	2530038.0	Bathycoccus sp. RCC716 virus 1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prasinovirus	Bathycoccus sp. RCC716 virus 1
contig_1043_8	AYV84288.1	46.2	325	159	5	6	328	3	313	4.7e-84	260.0	2487770.0	Hyperionvirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Hyperionvirus sp.
contig_1043_9	BCS83197.1	29.3	283	179	7	280	554	4	273	5.470000000000001e-26	112.0	2811091.0	Cotonvirus japonicus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Cotonvirus	Cotonvirus japonicum
contig_1043_23	QKF94322.1	29.8	124	82	2	51	170	632	754	1.3e-08	57.8	3070911.0	Fadolivirus FV1/VV64	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense
contig_1044_10	UXG17821.1	33.2	187	111	6	11	196	16	189	7.54e-18	81.6	137758.0	Cassava brown streak virus	N/A	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Ipomovirus	Ipomovirus brunusmanihotis
contig_1045_3	AGE50153.1	29.9	271	163	8	3	252	70	334	8.32e-19	88.6	1278270.0	Acanthocystis turfacea Chlorella virus Canal-1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Acanthocystis turfacea Chlorella virus Canal-1
contig_1046_2	QDY52415.1	46.5	86	46	0	15	100	1056	1141	2.92e-16	79.3	2596887.0	Mimiviridae sp. ChoanoV1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Schizomimiviridae	N/A	Mimiviridae sp. ChoanoV1
contig_1046_5	QFG74851.1	32.7	263	152	6	3	241	227	488	3.51e-30	123.0	1737588.0	Megaviridae environmental sample	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Megaviridae environmental sample
contig_1046_7	YP_009173653.1	64.9	37	13	0	65	101	1043	1079	3.75e-06	48.9	455364.0	Chrysochromulina ericina virus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	N/A	Chrysochromulina ericina virus
contig_1047_6	QIG60138.1	48.2	463	217	5	166	620	204	651	3.1499999999999996e-128	397.0	2704073.0	Dishui Lake large algae virus 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Dishui Lake large algae virus 1
contig_1047_7	AYV80843.1	43.6	163	90	2	14	174	5	167	6.92e-36	126.0	2487768.0	Harvfovirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Harvfovirus sp.
contig_1047_8	YP_003969693.1	26.6	259	166	5	16	256	70	322	1.02e-13	76.3	693272.0	Cafeteria roenbergensis virus BV-PW1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Rheavirus	Rheavirus sinusmexicani
contig_1047_12	QFG74672.1	22.7	362	208	14	634	961	43	366	3.07e-06	55.1	1737588.0	Megaviridae environmental sample	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Megaviridae environmental sample
contig_1049_1	AUI39789.1	40.7	167	97	2	9	174	26	191	2.24e-34	123.0	47929.0	macacine betaherpesvirus 3	N/A	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Cytomegalovirus	Cytomegalovirus macacinebeta3
contig_1049_2	QKF93973.1	31.0	100	60	2	33	126	46	142	8.67e-07	49.3	3070911.0	Fadolivirus FV1/VV64	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense
contig_1051_6	XDO02360.1	23.6	237	139	7	3	212	1	222	4.31e-11	67.4	3240092.0	Florenciella sp. virus SA2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Florenciella sp. virus SA2
contig_1052_1	YP_002154763.1	37.3	102	54	4	34	128	345	443	2.04e-09	58.2	39420.0	Feldmannia species virus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Phaeovirus	Phaeovirus feldmanniae
contig_1052_2	YP_009001498.1	25.7	230	143	6	4	231	466	669	1.3e-18	89.0	62099.0	Alphaentomopoxvirus acuprea	N/A	Bamfordvirae	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Alphaentomopoxvirus	Alphaentomopoxvirus acuprea
contig_1053_1	QFG74471.1	51.8	139	66	1	3	141	745	882	1.2e-36	136.0	1737588.0	Megaviridae environmental sample	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Megaviridae environmental sample
contig_1053_2	QFG74471.1	41.6	622	344	7	62	676	44	653	1.78e-153	472.0	1737588.0	Megaviridae environmental sample	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Megaviridae environmental sample
contig_1053_3	QBK85983.1	37.5	120	69	3	9	124	2	119	1.63e-18	78.6	2506602.0	Marseillevirus LCMAC101	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	N/A	Marseillevirus LCMAC101
contig_1054_4	QBK87520.1	31.1	286	182	5	21	293	12	295	6.11e-33	126.0	2506605.0	Marseillevirus LCMAC201	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	N/A	Marseillevirus LCMAC201
contig_1055_5	ARF11081.1	33.9	180	114	3	1	179	1	176	6.4e-25	98.6	1977638.0	Hokovirus HKV1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Hokovirus	Hokovirus HKV1
contig_1055_20	QBK93140.1	28.8	184	120	6	70	247	73	251	5.91e-14	73.6	2506596.0	Pithovirus LCPAC403	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Pithovirus LCPAC403
contig_1055_22	ARF09735.1	25.9	189	118	8	13	191	14	190	1.86e-07	55.1	1977633.0	Indivirus ILV1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Indivirus	Indivirus ILV1
contig_1056_1	QKU34944.1	24.8	1127	763	25	2	1112	522	1580	1.54e-78	292.0		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
contig_1056_11	QKF93488.1	26.1	238	141	11	118	339	35	253	1.26e-10	65.5	3070911.0	Fadolivirus FV1/VV64	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense
contig_1056_27	AYV85468.1	34.3	105	61	3	244	340	197	301	5.44e-07	54.7	2487771.0	Satyrvirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Satyrvirus sp.
contig_1056_34	SPN79811.1	34.4	192	110	6	17	202	25	206	1.31e-18	89.4	2126980.0	Brazilian cedratvirus IHUMI	N/A	N/A	N/A	N/A	N/A	N/A	Alphacedratvirus	Alphacedratvirus brasiliense
contig_1056_35	QKU34944.1	35.3	320	179	8	5	316	1238	1537	3.96e-44	165.0		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
contig_1058_2	QKF93541.1	24.4	180	125	5	118	287	76	254	4.02e-12	69.3	3070911.0	Fadolivirus FV1/VV64	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense
contig_1058_6	ADX05998.1	33.8	266	132	8	24	269	180	421	3.54e-22	103.0	938081.0	Organic Lake phycodnavirus 1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	N/A	Organic Lake phycodnavirus 1
contig_1058_7	ARR75030.1	33.9	127	74	3	6	126	31	153	2.09e-12	67.4	1988039.0	Mimivirus AB-566-O17	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Mimivirus	Mimivirus AB-566-O17
contig_1058_14	AGE52738.1	33.3	264	161	6	23	282	3	255	2.2299999999999997e-34	130.0	1278251.0	Paramecium bursaria Chlorella virus CZ-2	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Paramecium bursaria Chlorella virus CZ-2
