qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	staxids	organism_name	superkingdom	kingdom	phylum	class	order	family	genus	species	contig_id
contig_994_5	YP_009174706.1	40.0	340	173	8	15	351	1	312	4.989999999999998e-81	253.0	1586713.0	Yellowstone lake phycodnavirus 1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prasinovirus	Yellowstone lake phycodnavirus 1	contig_994
contig_904_18	QBK85775.1	33.2	485	249	8	13	426	2	482	5.49e-81	261.0	2506602.0	Marseillevirus LCMAC101		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae		Marseillevirus LCMAC101	contig_904
contig_689_6	AYV75222.1	36.7	436	245	12	14	433	3	423	1.43e-80	258.0	2487775.0	Terrestrivirus sp.		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Terrestrivirus sp.	contig_689
contig_593_20	YP_009174706.1	39.2	337	178	7	1	336	1	311	1.83e-79	249.0	1586713.0	Yellowstone lake phycodnavirus 1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prasinovirus	Yellowstone lake phycodnavirus 1	contig_593
contig_325_8	QDY52390.1	30.1	498	338	5	1	489	7	503	6.5e-79	260.0	2596887.0	Mimiviridae sp. ChoanoV1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Schizomimiviridae		Mimiviridae sp. ChoanoV1	contig_325
contig_251_3	ARF12130.1	38.7	377	213	6	1	369	180	546	1.53e-78	254.0	1977640.0	Klosneuvirus KNV1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Klosneuvirus	Klosneuvirus KNV1	contig_251
contig_344_5	AGE49131.1	44.0	291	157	1	32	316	40	330	3.11e-77	243.0	1278268.0	Acanthocystis turfacea Chlorella virus Br0604L		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Acanthocystis turfacea Chlorella virus Br0604L	contig_344
contig_410_2	AUV59005.1	33.8	465	248	11	2	421	15	464	9.7e-75	244.0	2071566.0	Bandra megavirus		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Megavirus	Bandra megavirus	contig_410
contig_723_5	ARF11365.1	32.8	543	307	14	5	535	5	501	1.56e-74	248.0	1977640.0	Klosneuvirus KNV1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Klosneuvirus	Klosneuvirus KNV1	contig_723
contig_1006_13	WZO82738.1	41.2	294	167	1	30	317	55	348	7.390000000000001e-73	233.0	2809302.0	Chlorovirus sp.		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Chlorovirus sp.	contig_1006
contig_202_23	QFG74155.1	40.4	339	193	5	5	341	5	336	5.93e-72	230.0	1737588.0	Megaviridae environmental sample		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Megaviridae environmental sample	contig_202
contig_709_7	AYV80835.1	46.1	256	135	2	33	287	52	305	1.41e-71	226.0	2487768.0	Harvfovirus sp.		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Harvfovirus sp.	contig_709
contig_415_11	AYV82736.1	35.6	407	241	8	14	416	4	393	9.61e-70	229.0	2487770.0	Hyperionvirus sp.		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Hyperionvirus sp.	contig_415
contig_510_3	AYV75146.1	28.0	825	488	24	52	832	65	827	1.47e-69	252.0	2487775.0	Terrestrivirus sp.		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Terrestrivirus sp.	contig_510
contig_584_5	AYV82736.1	34.8	388	231	7	27	409	18	388	8.63e-69	226.0	2487770.0	Hyperionvirus sp.		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Hyperionvirus sp.	contig_584
contig_61_12	AYV77951.1	37.6	356	211	4	4	349	15	369	1.28e-68	231.0	2487765.0	Edafosvirus sp.		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Edafosvirus sp.	contig_61
contig_1043_3	AYV77123.1	39.5	339	172	9	1	323	1	322	2.3099999999999997e-68	220.0	2487763.0	Barrevirus sp.		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Barrevirus sp.	contig_1043
contig_872_2	QKF94253.1	30.4	523	331	8	16	532	21	516	3.12e-68	235.0	3070911.0	Fadolivirus FV1/VV64		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense	contig_872
contig_70_1	QOI90522.1	48.8	248	121	3	164	406	10	256	7.98e-68	229.0	455367.0	Pyramimonas orientalis virus		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Allomimiviridae	Heliosvirus	Heliosvirus raunefjordenense	contig_70
contig_871_6	QKF94253.1	29.5	543	325	10	2	531	7	504	6.900000000000002e-66	229.0	3070911.0	Fadolivirus FV1/VV64		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense	contig_871
contig_538_6	QOI90398.1	56.1	223	92	3	19	235	348	570	2.52e-64	217.0	455367.0	Pyramimonas orientalis virus		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Allomimiviridae	Heliosvirus	Heliosvirus raunefjordenense	contig_538
contig_455_18	BBI30180.1	56.3	174	75	1	1	174	229	401	1.15e-63	213.0	3114988.0	Acanthamoeba castellanii medusavirus J1		Bamfordvirae	Nucleocytoviricota	Megaviricetes		Mamonoviridae	Medusavirus	Medusavirus medusae	contig_455
contig_853_4	QFG74614.1	33.6	417	246	12	1	411	1	392	3.28e-63	213.0	1737588.0	Megaviridae environmental sample		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Megaviridae environmental sample	contig_853
contig_46_2	YP_003970003.1	34.3	361	228	4	3	360	10	364	2.76e-62	209.0	693272.0	Cafeteria roenbergensis virus BV-PW1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Rheavirus	Rheavirus sinusmexicani	contig_46
contig_725_6	AUF82322.1	34.9	338	201	7	5	329	4	335	3.18e-62	206.0	2060617.0	Tetraselmis virus 1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Allomimiviridae	Oceanusvirus	Oceanusvirus kaneohense	contig_725
contig_1011_12	QDY52085.1	38.6	321	183	4	33	339	3	323	8.98e-62	203.0	2596887.0	Mimiviridae sp. ChoanoV1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Schizomimiviridae		Mimiviridae sp. ChoanoV1	contig_1011
contig_954_5	QFG74393.1	29.9	528	332	11	2	515	19	522	2.02e-61	214.0	1737588.0	Megaviridae environmental sample		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Megaviridae environmental sample	contig_954
contig_601_1	QBK86945.1	45.9	259	124	5	3	258	4	249	4.03e-60	196.0	2506604.0	Marseillevirus LCMAC103		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae		Marseillevirus LCMAC103	contig_601
contig_26_10	QBK86945.1	51.1	219	97	3	1	219	80	288	8.43e-60	192.0	2506604.0	Marseillevirus LCMAC103		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae		Marseillevirus LCMAC103	contig_26
contig_12_10	QKF94253.1	31.3	505	317	10	2	498	5	487	1.67e-59	211.0	3070911.0	Fadolivirus FV1/VV64		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense	contig_12
contig_794_2	QKF94406.1	43.6	250	135	3	15	259	9	257	1.1500000000000001e-58	197.0	3070911.0	Fadolivirus FV1/VV64		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense	contig_794
contig_313_12	QFG73671.1	33.8	367	228	5	21	381	5	362	1.4800000000000001e-58	198.0	1737588.0	Megaviridae environmental sample		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Megaviridae environmental sample	contig_313
contig_931_2	QIG59801.1	42.1	299	141	4	2	268	131	429	2.1600000000000006e-58	195.0	2704074.0	Dishui Lake phycodnavirus 3		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prasinovirus	Dishui Lake phycodnavirus 3	contig_931
contig_37_3	QOR60244.1	35.8	344	196	9	1	332	137	467	7.15e-58	201.0	2530038.0	Bathycoccus sp. RCC716 virus 1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prasinovirus	Bathycoccus sp. RCC716 virus 1	contig_37
contig_759_14	APU88852.1	29.9	591	282	14	262	747	23	586	3.97e-57	209.0	1924548.0	Virus Rctr197k		Heunggongvirae	Uroviricota	Caudoviricetes				Virus Rctr197k	contig_759
contig_261_8	QKF94354.1	37.5	317	182	6	77	392	59	360	6.82e-57	194.0	3070911.0	Fadolivirus FV1/VV64		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense	contig_261
contig_429_5	APT43408.1	57.2	159	59	1	1	159	140	289	1.0400000000000002e-56	182.0	10371.0	Equid gammaherpesvirus 5		Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Percavirus	Percavirus equidgamma5	contig_429
contig_522_8	QBK87586.1	41.5	253	131	10	10	258	134	373	3.9100000000000003e-56	191.0	2506605.0	Marseillevirus LCMAC201		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae		Marseillevirus LCMAC201	contig_522
contig_889_6	AYV77848.1	47.7	172	90	0	2	173	7	178	4.53e-56	178.0	2487765.0	Edafosvirus sp.		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Edafosvirus sp.	contig_889
contig_997_2	YP_009449147.1	36.2	348	201	8	28	363	14	352	6.930000000000001e-56	192.0	2023057.0	Orpheovirus IHUMI-LCC2		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Orpheoviridae	Alphaorpheovirus	Alphaorpheovirus massiliense	contig_997
contig_265_1	AVL94120.1	35.9	337	179	10	24	343	3	319	7.97e-56	195.0	2109586.0	Megavirus sp. 'vitis'		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Megavirus	Megavirus sp. 'vitis'	contig_265
contig_448_8	APU88852.1	28.4	598	292	16	244	735	17	584	9.56e-56	206.0	1924548.0	Virus Rctr197k		Heunggongvirae	Uroviricota	Caudoviricetes				Virus Rctr197k	contig_448
contig_581_13	AYV82508.1	35.1	362	229	4	23	380	5	364	1.2699999999999999e-54	187.0	2487770.0	Hyperionvirus sp.		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Hyperionvirus sp.	contig_581
contig_804_5	QBK87503.1	33.7	386	217	8	5	371	34	399	1.8499999999999999e-54	198.0	2506605.0	Marseillevirus LCMAC201		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae		Marseillevirus LCMAC201	contig_804
contig_1015_2	CAK7596793.1	36.9	282	173	3	8	285	4	284	2.71e-54	182.0	3072188.0	Catovirus sp. 'naegleriensis'		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Catovirus	Catovirus sp. 'naegleriensis'	contig_1015
contig_584_6	AYV82508.1	40.2	261	146	5	13	269	5	259	1.35e-53	181.0	2487770.0	Hyperionvirus sp.		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Hyperionvirus sp.	contig_584
contig_264_3	YP_004063436.1	35.5	335	168	13	9	331	4	302	2.99e-53	181.0	696472.0	Ostreococcus tauri virus 2		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prasinovirus	Ostreococcus tauri virus 2	contig_264
contig_142_7	ARF12259.1	29.1	546	332	14	19	548	15	521	5.8e-53	192.0	1977640.0	Klosneuvirus KNV1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Klosneuvirus	Klosneuvirus KNV1	contig_142
contig_934_8	QFG73671.1	33.1	369	230	6	20	383	5	361	1.2e-52	182.0	1737588.0	Megaviridae environmental sample		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Megaviridae environmental sample	contig_934
contig_1015_1	QKF93884.1	33.7	383	228	9	9	378	92	461	5.3e-52	183.0	3070911.0	Fadolivirus FV1/VV64		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense	contig_1015
contig_759_8	QBK88781.1	32.7	382	236	13	3	367	23	400	6.32e-52	181.0	2506608.0	Mimivirus LCMiAC01		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Mimivirus LCMiAC01	contig_759
contig_71_1	QDY52178.1	47.5	198	87	4	8	191	6	200	8.87e-52	168.0	2596887.0	Mimiviridae sp. ChoanoV1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Schizomimiviridae		Mimiviridae sp. ChoanoV1	contig_71
contig_29_4	QBK87586.1	39.7	277	151	11	14	283	139	406	1.33e-51	181.0	2506605.0	Marseillevirus LCMAC201		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae		Marseillevirus LCMAC201	contig_29
contig_274_9	AUI39789.1	46.2	199	104	2	85	283	1	196	1.57e-51	171.0	47929.0	macacine betaherpesvirus 3		Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Cytomegalovirus	Cytomegalovirus macacinebeta3	contig_274
