qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	staxids	organism_name	superkingdom	kingdom	phylum	class	order	family	genus	species
contig_1047_12	QFG74672.1	22.7	362	208	14	634	961	43	366	3.07e-06	55.1	1737588.0	Megaviridae environmental sample	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Megaviridae environmental sample
contig_1055_5	ARF11081.1	33.9	180	114	3	1	179	1	176	6.4e-25	98.6	1977638.0	Hokovirus HKV1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Hokovirus	Hokovirus HKV1
contig_1055_20	QBK93140.1	28.8	184	120	6	70	247	73	251	5.91e-14	73.6	2506596.0	Pithovirus LCPAC403	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Pithovirus LCPAC403
contig_1055_22	ARF09735.1	25.9	189	118	8	13	191	14	190	1.86e-07	55.1	1977633.0	Indivirus ILV1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Indivirus	Indivirus ILV1
contig_1056_1	QKU34944.1	24.8	1127	763	25	2	1112	522	1580	1.54e-78	292.0		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
contig_1056_11	QKF93488.1	26.1	238	141	11	118	339	35	253	1.26e-10	65.5	3070911.0	Fadolivirus FV1/VV64	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense
contig_1056_27	AYV85468.1	34.3	105	61	3	244	340	197	301	5.44e-07	54.7	2487771.0	Satyrvirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Satyrvirus sp.
contig_1056_34	SPN79811.1	34.4	192	110	6	17	202	25	206	1.31e-18	89.4	2126980.0	Brazilian cedratvirus IHUMI	N/A	N/A	N/A	N/A	N/A	N/A	Alphacedratvirus	Alphacedratvirus brasiliense
contig_1056_35	QKU34944.1	35.3	320	179	8	5	316	1238	1537	3.96e-44	165.0		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
contig_1058_2	QKF93541.1	24.4	180	125	5	118	287	76	254	4.02e-12	69.3	3070911.0	Fadolivirus FV1/VV64	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense
contig_1058_6	ADX05998.1	33.8	266	132	8	24	269	180	421	3.54e-22	103.0	938081.0	Organic Lake phycodnavirus 1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	N/A	Organic Lake phycodnavirus 1
contig_1058_7	ARR75030.1	33.9	127	74	3	6	126	31	153	2.09e-12	67.4	1988039.0	Mimivirus AB-566-O17	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Mimivirus	Mimivirus AB-566-O17
contig_1058_14	AGE52738.1	33.3	264	161	6	23	282	3	255	2.2299999999999997e-34	130.0	1278251.0	Paramecium bursaria Chlorella virus CZ-2	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Paramecium bursaria Chlorella virus CZ-2
contig_1058_16	YP_803294.1	28.1	256	164	8	5	249	18	264	1.08e-09	61.2	328615.0	Trichoplusia ni ascovirus 2c	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Ascoviridae	Ascovirus	Trichoplusia ni ascovirus 2c
contig_1058_21	AUI39649.1	62.9	286	99	2	30	313	136	416	2.36e-129	380.0	47929.0	macacine betaherpesvirus 3	N/A	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Cytomegalovirus	Cytomegalovirus macacinebeta3
contig_1058_25	QBK89199.1	29.2	277	178	4	15	273	37	313	2.04e-31	122.0	2506609.0	Mimivirus LCMiAC02	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Mimivirus LCMiAC02
contig_1058_27	CAD45443.1	42.5	87	49	1	462	547	6	92	2.23e-17	82.0	206392.0	Iris mild mosaic virus	N/A	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Potyvirus iristenuis
contig_1058_41	WRJ69537.1	28.5	403	235	14	142	535	260	618	1.06e-20	100.0	3045048.0	Oceanusvirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Allomimiviridae	Oceanusvirus	Oceanusvirus sp.
contig_1058_43	YP_003970059.1	23.2	319	188	11	18	332	50	315	3.31e-09	65.5	693272.0	Cafeteria roenbergensis virus BV-PW1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Rheavirus	Rheavirus sinusmexicani
contig_1058_45	AYV81272.1	28.3	346	242	3	6	349	44	385	1.5300000000000001e-43	161.0	2487768.0	Harvfovirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Harvfovirus sp.
contig_1059_11	AYV76365.1	23.3	425	279	15	325	720	86	492	2.74e-18	95.1	2487775.0	Terrestrivirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Terrestrivirus sp.
contig_1060_15	CAK7596747.1	32.5	659	382	14	11	614	2	652	1.55e-109	347.0	3072188.0	Catovirus sp. 'naegleriensis'	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Catovirus	Catovirus sp. 'naegleriensis'
contig_1062_2	ATZ80771.1	22.8	189	124	5	13	179	9	197	3.38e-07	53.9	2024608.0	Bodo saltans virus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Theiavirus	Theiavirus salishense
contig_1062_7	YP_007676285.1	26.5	656	355	31	205	773	256	871	1.66e-34	145.0	755272.0	Micromonas pusilla virus 12T	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prasinovirus	Micromonas pusilla virus 12T
contig_1062_8	XDR79929.1	32.5	114	60	5	174	284	37	136	1.53e-06	55.1	3057169.0	Micromonas commoda virus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	N/A	Micromonas commoda virus
contig_1063_2	AAL14454.1	27.2	533	354	13	291	800	252	773	5.31e-44	175.0	10090.0	Mus musculus	Eukaryota	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus
contig_1063_15	QKF94107.1	38.6	158	91	3	2	154	4	160	3.45e-22	105.0	3070911.0	Fadolivirus FV1/VV64	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense
contig_1063_18	AYV81995.1	39.0	385	190	13	1	346	4	382	1.7e-60	214.0	2487769.0	Homavirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Homavirus sp.
contig_1063_19	AYV81995.1	36.7	1112	622	20	8	1051	423	1520	4e-208	668.0	2487769.0	Homavirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Homavirus sp.
contig_1063_23	YP_004061915.1	24.6	260	165	9	4	252	2	241	4.43e-08	58.9	880161.0	Micromonas sp. RCC1109 virus MpV1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prasinovirus	Micromonas sp. RCC1109 virus MpV1
contig_1063_27	WPR17152.1	45.9	111	55	2	100	207	3	111	2.49e-22	100.0	3066973.0	Moss associated narna-like virus 14	N/A	Orthornavirae	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	N/A	Moss associated narna-like virus 14
contig_1063_37	AYV77025.1	24.5	907	477	41	19	857	6	772	5.0300000000000005e-22	106.0	2487763.0	Barrevirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Barrevirus sp.
contig_1063_43	YP_009001498.1	25.2	238	152	8	2	223	464	691	1.62e-11	67.4	62099.0	Alphaentomopoxvirus acuprea	N/A	Bamfordvirae	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Alphaentomopoxvirus	Alphaentomopoxvirus acuprea
contig_1063_53	QBK85651.1	38.1	118	65	3	267	382	36	147	1.84e-07	56.6	2506602.0	Marseillevirus LCMAC101	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	N/A	Marseillevirus LCMAC101
contig_1063_54	AYV84100.1	37.0	192	103	4	185	368	732	913	9.43e-29	122.0	2487770.0	Hyperionvirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Hyperionvirus sp.
contig_1063_64	SPN78997.1	26.9	238	144	9	16	225	57	292	2.24e-10	63.2	2126980.0	Brazilian cedratvirus IHUMI	N/A	N/A	N/A	N/A	N/A	N/A	Alphacedratvirus	Alphacedratvirus brasiliense
contig_1063_71	QCO93535.1	23.2	362	220	11	51	397	53	371	2.96e-11	68.6	2576451.0	Reptile-associated circular DNA molecule	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Reptile-associated circular DNA molecule
contig_1063_78	XHA59793.1	37.8	217	105	6	15	212	30	235	3.96e-33	128.0	3101553.0	Poseidoniales virus	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Poseidoniales virus
contig_1063_81	BCS83440.1	28.4	183	110	9	14	181	8	184	3.82e-07	55.5	2811091.0	Cotonvirus japonicus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Cotonvirus	Cotonvirus japonicum
contig_1063_101	QKF94238.1	30.2	587	251	19	20	468	16	581	9.089999999999999e-54	193.0	3070911.0	Fadolivirus FV1/VV64	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense
contig_1063_102	AYV77848.1	34.9	152	90	4	10	155	17	165	4.7099999999999995e-24	96.7	2487765.0	Edafosvirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Edafosvirus sp.
contig_1063_107	QKF93673.1	24.2	479	258	17	86	559	130	508	3.17e-18	92.0	3070911.0	Fadolivirus FV1/VV64	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense
contig_1063_109	QFG73957.1	40.9	440	231	11	9	426	6	438	1.05e-92	291.0	1737588.0	Megaviridae environmental sample	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Megaviridae environmental sample
contig_1063_114	YP_009448811.1	31.8	440	274	9	2	424	5	435	3.64e-64	216.0	2023057.0	Orpheovirus IHUMI-LCC2	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Orpheoviridae	Alphaorpheovirus	Alphaorpheovirus massiliense
contig_1063_117	AUI39626.1	32.9	161	93	5	5	150	112	272	3.06e-10	63.5	47929.0	macacine betaherpesvirus 3	N/A	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Cytomegalovirus	Cytomegalovirus macacinebeta3
contig_1063_118	AYV75222.1	25.7	284	167	9	184	452	15	269	3.03e-15	82.4	2487775.0	Terrestrivirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Terrestrivirus sp.
contig_1063_123	YP_009238572.1	40.5	131	68	5	18	142	25	151	2.18e-14	69.3	1813599.0	Brazilian marseillevirus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Brazilian marseillevirus
contig_1063_137	ARF11698.1	29.2	823	500	21	12	776	5	802	2.51e-97	333.0	1977640.0	Klosneuvirus KNV1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Klosneuvirus	Klosneuvirus KNV1
contig_1063_141	YP_009001498.1	27.8	234	127	7	1	216	465	674	2.62e-13	74.3	62099.0	Alphaentomopoxvirus acuprea	N/A	Bamfordvirae	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Alphaentomopoxvirus	Alphaentomopoxvirus acuprea
contig_1063_146	ATZ80771.1	27.6	145	81	4	129	255	60	198	3.12e-07	55.5	2024608.0	Bodo saltans virus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Theiavirus	Theiavirus salishense
contig_1063_149	QFG74185.1	28.1	377	251	10	40	406	51	417	8.76e-39	150.0	1737588.0	Megaviridae environmental sample	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Megaviridae environmental sample
contig_1065_1	QYA18295.1	33.3	231	129	3	145	375	228	433	8.6e-27	115.0	2831644.0	Clandestinovirus	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Clandestinovirus
contig_1065_2	UYE94304.1	22.9	1315	727	39	227	1354	215	1429	1.1699999999999999e-52	207.0	251749.0	Phaeocystis globosa virus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prymnesiovirus	Phaeocystis globosa virus
contig_1065_5	QKU35964.1	24.2	817	450	28	7	691	1	780	2.19e-39	159.0		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
contig_1065_6	ARF10763.1	27.9	445	233	13	5	374	3	434	1.15e-34	137.0	1977638.0	Hokovirus HKV1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Hokovirus	Hokovirus HKV1
contig_1065_35	QKU34031.1	48.2	388	193	4	7	389	176	560	1.89e-122	376.0		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
contig_1065_37	QBK88329.1	36.0	100	54	3	821	920	190	279	3.59e-06	53.9	2506606.0	Marseillevirus LCMAC202	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	N/A	Marseillevirus LCMAC202
contig_1065_42	WZO87644.1	26.0	146	93	2	17	160	29	161	3.79e-07	54.3	2809302.0	Chlorovirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Chlorovirus sp.
contig_1065_43	AYV78622.1	28.6	126	83	2	26	144	49	174	1.24e-06	50.4	2487765.0	Edafosvirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Edafosvirus sp.
contig_1065_52	QDY52265.1	21.8	330	219	11	80	407	61	353	8.01e-07	57.4	2596887.0	Mimiviridae sp. ChoanoV1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Schizomimiviridae	N/A	Mimiviridae sp. ChoanoV1
contig_1065_58	ADX05857.1	24.4	205	142	6	21	224	311	503	1.08e-07	55.8	938081.0	Organic Lake phycodnavirus 1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	N/A	Organic Lake phycodnavirus 1
contig_1065_61	QPI16506.1	39.2	102	60	1	12	113	6	105	4.0199999999999993e-23	94.7	2763269.0	Virus NIOZ-UU157	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Virus NIOZ-UU157
contig_1065_65	QBK84775.1	35.0	346	198	10	3	340	48	374	1.53e-50	177.0	2506600.0	Pithovirus LCDPAC01	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Pithovirus LCDPAC01
contig_1065_66	QBK84531.1	32.1	212	101	6	1	182	1	199	1.8e-23	97.1	2506600.0	Pithovirus LCDPAC01	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Pithovirus LCDPAC01
contig_1065_67	YP_009448872.1	36.6	268	150	8	5	255	4	268	4.74e-38	147.0	2023057.0	Orpheovirus IHUMI-LCC2	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Orpheoviridae	Alphaorpheovirus	Alphaorpheovirus massiliense
contig_1065_68	QBK84530.1	30.9	152	103	1	7	158	5	154	7.99e-22	89.4	2506600.0	Pithovirus LCDPAC01	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Pithovirus LCDPAC01
contig_1065_71	YP_009448872.1	42.0	143	78	3	49	189	265	404	7.8e-24	102.0	2023057.0	Orpheovirus IHUMI-LCC2	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Orpheoviridae	Alphaorpheovirus	Alphaorpheovirus massiliense
contig_1065_76	QBK87105.1	28.4	225	137	8	30	233	26	247	2.58e-08	58.2	2506605.0	Marseillevirus LCMAC201	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	N/A	Marseillevirus LCMAC201
contig_1065_94	QBK85357.1	23.0	569	323	24	433	926	279	807	1.42e-10	69.7	2506607.0	Iridovirus LCIVAC01	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Iridoviridae	N/A	Iridovirus LCIVAC01
contig_1067_5	QBK88781.1	31.8	387	243	12	4	373	23	405	1.28e-50	178.0	2506608.0	Mimivirus LCMiAC01	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Mimivirus LCMiAC01
contig_1067_18	XDO02360.1	24.0	183	111	6	106	286	61	217	1.87e-07	57.4	3240092.0	Florenciella sp. virus SA2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Florenciella sp. virus SA2
contig_1067_19	QKF94836.1	25.5	137	81	5	66	190	94	221	9.47e-06	51.6	3070911.0	Fadolivirus FV1/VV64	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense
contig_1067_20	AUF82142.1	29.2	377	200	14	21	369	3	340	2.73e-28	120.0	2060617.0	Tetraselmis virus 1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Allomimiviridae	Oceanusvirus	Oceanusvirus kaneohense
contig_1067_22	QBK88577.1	42.0	612	334	13	33	637	54	651	2.85e-158	473.0	2506608.0	Mimivirus LCMiAC01	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Mimivirus LCMiAC01
contig_1068_1	QKF94225.1	27.2	206	127	5	178	374	721	912	3.53e-13	76.3	3070911.0	Fadolivirus FV1/VV64	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense
contig_1068_3	BDT63291.1	39.1	179	102	4	23	195	9	186	6.99e-27	111.0	2984284.0	Armadillidium vulgare clopovirus	N/A	N/A	N/A	Naldaviricetes	N/A	Nimaviridae	N/A	Armadillidium vulgare clopovirus
contig_1068_4	QBK89986.1	32.7	150	94	3	1	147	15	160	5.44e-25	97.8	2506586.0	Pithovirus LCPAC101	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Pithovirus LCPAC101
contig_1068_6	AUI39788.1	26.0	100	74	0	11	110	13	112	3.53e-06	48.9	47929.0	macacine betaherpesvirus 3	N/A	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Cytomegalovirus	Cytomegalovirus macacinebeta3
contig_1068_7	AUI39789.1	53.6	196	90	1	20	214	1	196	1.51e-72	222.0	47929.0	macacine betaherpesvirus 3	N/A	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Cytomegalovirus	Cytomegalovirus macacinebeta3
contig_1068_14	AGE53021.1	25.9	424	239	19	14	406	25	404	6.65e-07	55.8	1278251.0	Paramecium bursaria Chlorella virus CZ-2	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Paramecium bursaria Chlorella virus CZ-2
contig_1068_15	YP_009001225.1	27.2	228	149	6	30	251	69	285	8.47e-15	77.8	1450746.0	Pithovirus sibericum	N/A	N/A	N/A	N/A	N/A	N/A	Alphapithovirus	Alphapithovirus sibericum
contig_1068_16	YP_009001498.1	24.7	267	170	9	341	606	465	701	1.17e-10	69.3	62099.0	Alphaentomopoxvirus acuprea	N/A	Bamfordvirae	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Alphaentomopoxvirus	Alphaentomopoxvirus acuprea
contig_1068_19	WRK65520.1	48.9	139	69	2	5	142	3	140	1.57e-42	141.0	3112148.0	Marseillevirus futianmevirus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	N/A	Marseillevirus futianmevirus
contig_1068_30	CAE02706.1	30.9	446	232	10	5	391	36	464	9.29e-45	164.0	4952.0	Yarrowia lipolytica	Eukaryota	Fungi	Ascomycota	Dipodascomycetes	Dipodascales	N/A	Yarrowia	Yarrowia lipolytica
contig_1068_33	YP_009001225.1	30.7	228	143	6	8	227	65	285	1.98e-24	105.0	1450746.0	Pithovirus sibericum	N/A	N/A	N/A	N/A	N/A	N/A	Alphapithovirus	Alphapithovirus sibericum
contig_1068_40	XIF71293.1	34.1	226	134	5	5	220	9	229	1.1900000000000001e-27	108.0	3057169.0	Micromonas commoda virus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	N/A	Micromonas commoda virus
contig_1068_42	QKU35964.1	42.6	148	83	2	3	149	1	147	6.5e-24	110.0		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
contig_1068_47	QBK89352.1	41.4	215	101	1	2	216	2	191	1.7099999999999998e-46	156.0	2506609.0	Mimivirus LCMiAC02	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Mimivirus LCMiAC02
contig_1068_48	QBK88329.1	37.0	211	115	8	3	208	77	274	1.34e-19	91.3	2506606.0	Marseillevirus LCMAC202	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	N/A	Marseillevirus LCMAC202
contig_1068_65	ACD54816.1	23.5	187	133	3	4	180	16	202	2.66e-08	57.0	104782.0	Adineta vaga	Eukaryota	Metazoa	Rotifera	Eurotatoria	Adinetida	Adinetidae	Adineta	Adineta vaga
contig_1068_68	ADA61015.1	30.9	191	112	7	6	193	29	202	4.55e-12	66.2	137758.0	Cassava brown streak virus	N/A	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Ipomovirus	Ipomovirus brunusmanihotis
