================================================================================
Viral Abundance Report (MetaFlye - Long Reads) - llnl_66d1047e
================================================================================

Total mapped reads: 148104
Viral contigs reported: 825

Contig ID                                 Length(bp)     Reads         RPM        RPKM
contig_551                                     66750       238     1606.98       24.07
contig_250                                      5331        19      128.29       24.06
contig_468                                      9826        35      236.32       24.05
contig_700                                     33124       118      796.74       24.05
contig_578                                     11265        40      270.08       23.98
contig_903                                     24509        87      587.43       23.97
contig_736                                      3387        12       81.02       23.92
contig_739                                      6228        22      148.54       23.85
contig_880                                      7942        28      189.06       23.80
contig_144                                     12501        44      297.09       23.77
contig_1067                                    32202       113      762.98       23.69
contig_1038                                     8302        29      195.81       23.59
contig_449                                      7165        25      168.80       23.56
contig_25                                      20662        72      486.14       23.53
contig_24                                      12413        43      290.34       23.39
contig_55                                      15911        55      371.36       23.34
contig_155                                      9845        34      229.57       23.32
contig_174                                     12184        42      283.58       23.28
contig_52                                      32471       111      749.47       23.08
contig_565                                      3808        13       87.78       23.05
contig_1059                                    55425       189     1276.13       23.02
contig_73                                      19372        66      445.63       23.00
contig_890                                      5331        18      121.54       22.80
contig_285                                      5929        20      135.04       22.78
contig_20                                      62037       209     1411.17       22.75
contig_354                                      5344        18      121.54       22.74
contig_56                                      12202        41      276.83       22.69
contig_1139                                     6883        23      155.30       22.56
contig_499                                      6590        22      148.54       22.54
contig_287                                      7532        25      168.80       22.41
contig_122                                      7592        25      168.80       22.23
contig_549                                     13382        44      297.09       22.20
contig_1118                                     8889        29      195.81       22.03
contig_716                                      5832        19      128.29       22.00
contig_515                                      5245        17      114.78       21.88
contig_420                                     10503        34      229.57       21.86
contig_310                                      3407        11       74.27       21.80
contig_960                                      5898        19      128.29       21.75
contig_590                                      9337        30      202.56       21.69
contig_593                                     45917       147      992.55       21.62
contig_511                                      3751        12       81.02       21.60
contig_123                                      5947        19      128.29       21.57
contig_666                                     40480       129      871.01       21.52
contig_81                                       9126        29      195.81       21.46
contig_99                                      11705        37      249.82       21.34
contig_827                                      5386        17      114.78       21.31
contig_1175                                    62082       195     1316.64       21.21
contig_674                                      9873        31      209.31       21.20
contig_108                                     11501        36      243.07       21.13
contig_649                                      7350        23      155.30       21.13
contig_364                                     56328       176     1188.35       21.10
contig_858                                     10590        33      222.82       21.04
contig_247                                     15734        49      330.85       21.03
contig_329                                      7089        22      148.54       20.95
contig_842                                      6446        20      135.04       20.95
contig_667                                      7738        24      162.05       20.94
contig_315                                      4860        15      101.28       20.84
contig_1051                                    11338        35      236.32       20.84
contig_262                                     17250        53      357.86       20.75
contig_380                                     10769        33      222.82       20.69
contig_196                                      5548        17      114.78       20.69
contig_28                                      11795        36      243.07       20.61
contig_997                                      7540        23      155.30       20.60
contig_161                                     15867        48      324.10       20.43
contig_88                                      17909        54      364.61       20.36
contig_291                                      8959        27      182.30       20.35
contig_968                                      6648        20      135.04       20.31
contig_950                                      7341        22      148.54       20.23
contig_373                                     13380        40      270.08       20.19
contig_293                                     15760        47      317.34       20.14
contig_156                                     11744        35      236.32       20.12
contig_908                                     17115        51      344.35       20.12
contig_728                                      3693        11       74.27       20.11
contig_142                                     13812        41      276.83       20.04
contig_337                                      7094        21      141.79       19.99
contig_30                                       9461        28      189.06       19.98
contig_295                                      3379        10       67.52       19.98
contig_523                                     17304        51      344.35       19.90
contig_369                                      9307        27      182.30       19.59
contig_72                                      24820        72      486.14       19.59
contig_550                                      5527        16      108.03       19.55
contig_920                                      8002        23      155.30       19.41
contig_891                                      8027        23      155.30       19.35
contig_159                                      5588        16      108.03       19.33
contig_245                                     15111        43      290.34       19.21
contig_885                                     22522        64      432.13       19.19
contig_832                                     11265        32      216.06       19.18
contig_135                                      9524        27      182.30       19.14
contig_244                                     14131        40      270.08       19.11
contig_360                                      5329        15      101.28       19.01
contig_83                                       8878        25      168.80       19.01
contig_126                                      5000        14       94.53       18.91
contig_969                                      9649        27      182.30       18.89
contig_34                                       8966        25      168.80       18.83
contig_1160                                    15800        44      297.09       18.80
contig_504                                      5413        15      101.28       18.71
contig_298                                      7237        20      135.04       18.66
contig_204                                     20443        56      378.11       18.50
contig_762                                     12058        33      222.82       18.48
contig_610                                      8438        23      155.30       18.40
contig_655                                     14317        39      263.33       18.39
contig_563                                     10339        28      189.06       18.29
contig_225                                      8124        22      148.54       18.28
contig_664                                      5171        14       94.53       18.28
contig_882                                      7020        19      128.29       18.27
contig_1045                                     3700        10       67.52       18.25
contig_727                                      8880        24      162.05       18.25
contig_1000                                     3715        10       67.52       18.17
contig_405                                      4852        13       87.78       18.09
contig_84                                      14968        40      270.08       18.04
contig_366                                     17247        46      310.59       18.01
contig_426                                     33201        88      594.18       17.90
contig_770                                      4903        13       87.78       17.90
contig_1143                                    83407       221     1492.19       17.89
contig_215                                     11771        31      209.31       17.78
contig_934                                      9125        24      162.05       17.76
contig_902                                      5333        14       94.53       17.73
contig_328                                     10662        28      189.06       17.73
contig_375                                     21748        57      384.86       17.70
contig_790                                     20998        55      371.36       17.69
contig_1095                                    43267       113      762.98       17.63
contig_187                                     11912        31      209.31       17.57
contig_817                                      7724        20      135.04       17.48
contig_186                                     10543        27      182.30       17.29
contig_6                                        5469        14       94.53       17.28
contig_475                                     17984        46      310.59       17.27
contig_589                                     15273        39      263.33       17.24
contig_33                                      21990        56      378.11       17.19
contig_769                                     11023        28      189.06       17.15
contig_35                                      10655        27      182.30       17.11
contig_640                                      7141        18      121.54       17.02
contig_784                                      7546        19      128.29       17.00
contig_538                                      5167        13       87.78       16.99
contig_879                                      5175        13       87.78       16.96
contig_712                                     23100        58      391.62       16.95
contig_294                                      6789        17      114.78       16.91
contig_844                                      5601        14       94.53       16.88
contig_330                                      6806        17      114.78       16.87
contig_670                                     30829        77      519.90       16.86
contig_853                                      3610         9       60.77       16.83
contig_750                                      3618         9       60.77       16.80
contig_93                                       7665        19      128.29       16.74
contig_109                                      7271        18      121.54       16.72
contig_1086                                    27940        69      465.89       16.67
contig_92                                      22337        55      371.36       16.63
contig_270                                     10162        25      168.80       16.61
contig_729                                      9781        24      162.05       16.57
contig_149                                      8968        22      148.54       16.56
contig_988                                      8968        22      148.54       16.56
contig_543                                     13061        32      216.06       16.54
contig_401                                      5719        14       94.53       16.53
contig_1188                                    15126        37      249.82       16.52
contig_609                                      3270         8       54.02       16.52
contig_466                                     10218        25      168.80       16.52
contig_351                                     13916        34      229.57       16.50
contig_216                                      4104        10       67.52       16.45
contig_345                                     12331        30      202.56       16.43
contig_509                                      3706         9       60.77       16.40
contig_238                                      9475        23      155.30       16.39
contig_1010                                    19789        48      324.10       16.38
contig_22                                      16911        41      276.83       16.37
contig_103                                     17352        42      283.58       16.34
contig_954                                     10752        26      175.55       16.33
contig_2                                        9510        23      155.30       16.33
contig_1108                                    19040        46      310.59       16.31
contig_97                                      11597        28      189.06       16.30
contig_906                                      7484        18      121.54       16.24
contig_767                                      8327        20      135.04       16.22
contig_755                                     25543        61      411.87       16.12
contig_182                                     10074        24      162.05       16.09
contig_274                                      9230        22      148.54       16.09
contig_925                                      3783         9       60.77       16.06
contig_548                                      8461        20      135.04       15.96
contig_457                                      8053        19      128.29       15.93
contig_11                                       6363        15      101.28       15.92
contig_659                                      6405        15      101.28       15.81
contig_228                                     15821        37      249.82       15.79
contig_963                                      5151        12       81.02       15.73
contig_555                                      5161        12       81.02       15.70
contig_252                                      6027        14       94.53       15.68
contig_793                                      8654        20      135.04       15.60
contig_268                                      9121        21      141.79       15.55
contig_881                                     12634        29      195.81       15.50
contig_518                                     13957        32      216.06       15.48
contig_1076                                     7470        17      114.78       15.37
contig_406                                      3954         9       60.77       15.37
contig_566                                      7032        16      108.03       15.36
contig_544                                      7078        16      108.03       15.26
contig_579                                      5312        12       81.02       15.25
contig_110                                     16832        38      256.58       15.24
contig_412                                      5776        13       87.78       15.20
contig_162                                     23117        52      351.10       15.19
contig_177                                     20441        46      310.59       15.19
contig_12                                      15133        34      229.57       15.17
contig_956                                      7580        17      114.78       15.14
contig_230                                      8479        19      128.29       15.13
contig_612                                      4911        11       74.27       15.12
contig_333                                     14785        33      222.82       15.07
contig_448                                     13899        31      209.31       15.06
contig_1106                                     7621        17      114.78       15.06
contig_914                                      9870        22      148.54       15.05
contig_157                                      9433        21      141.79       15.03
contig_266                                      6296        14       94.53       15.01
contig_967                                      3603         8       54.02       14.99
contig_391                                     18475        41      276.83       14.98
contig_690                                      5415        12       81.02       14.96
contig_1023                                     6798        15      101.28       14.90
contig_47                                      24034        53      357.86       14.89
contig_686                                      7257        16      108.03       14.89
contig_797                                      4992        11       74.27       14.88
contig_694                                     13624        30      202.56       14.87
contig_638                                      3632         8       54.02       14.87
contig_477                                      6360        14       94.53       14.86
contig_570                                      5466        12       81.02       14.82
contig_160                                     18703        41      276.83       14.80
contig_253                                      9581        21      141.79       14.80
contig_996                                     32431        71      479.39       14.78
contig_883                                     31198        68      459.14       14.72
contig_211                                     31660        69      465.89       14.72
contig_408                                     10106        22      148.54       14.70
contig_9                                       24364        53      357.86       14.69
contig_725                                     10583        23      155.30       14.67
contig_203                                      8753        19      128.29       14.66
contig_1103                                    18975        41      276.83       14.59
contig_869                                      5555        12       81.02       14.59
contig_939                                      3702         8       54.02       14.59
contig_811                                     18094        39      263.33       14.55
contig_335                                      7903        17      114.78       14.52
contig_95                                       7916        17      114.78       14.50
contig_955                                      3734         8       54.02       14.47
contig_256                                      3737         8       54.02       14.45
contig_1127                                    13084        28      189.06       14.45
contig_353                                     13100        28      189.06       14.43
contig_805                                      6560        14       94.53       14.41
contig_221                                     12224        26      175.55       14.36
contig_1146                                     9925        21      141.79       14.29
contig_257                                      6620        14       94.53       14.28
contig_347                                      7096        15      101.28       14.27
contig_588                                      7122        15      101.28       14.22
contig_702                                     10041        21      141.79       14.12
contig_580                                      7662        16      108.03       14.10
contig_70                                       4789        10       67.52       14.10
contig_952                                     15345        32      216.06       14.08
contig_872                                      4803        10       67.52       14.06
contig_663                                      4826        10       67.52       13.99
contig_71                                       6296        13       87.78       13.94
contig_972                                      9204        19      128.29       13.94
contig_19                                      16492        34      229.57       13.92
contig_120                                      6800        14       94.53       13.90
contig_450                                     12146        25      168.80       13.90
contig_826                                      5348        11       74.27       13.89
contig_137                                      6813        14       94.53       13.87
contig_526                                      8289        17      114.78       13.85
contig_777                                     24433        50      337.60       13.82
contig_868                                     25904        53      357.86       13.81
contig_794                                      4894        10       67.52       13.80
contig_601                                      3918         8       54.02       13.79
contig_438                                      4409         9       60.77       13.78
contig_863                                     16195        33      222.82       13.76
contig_467                                      5405        11       74.27       13.74
contig_788                                      5404        11       74.27       13.74
contig_202                                     28564        58      391.62       13.71
contig_191                                      9417        19      128.29       13.62
contig_1150                                    25358        51      344.35       13.58
contig_586                                      5968        12       81.02       13.58
contig_269                                     15930        32      216.06       13.56
contig_485                                     15434        31      209.31       13.56
contig_977                                     21917        44      297.09       13.56
contig_132                                     10964        22      148.54       13.55
contig_46                                       7977        16      108.03       13.54
contig_658                                      5499        11       74.27       13.51
contig_1136                                    17534        35      236.32       13.48
contig_775                                      7522        15      101.28       13.46
contig_1132                                    19063        38      256.58       13.46
contig_839                                      8537        17      114.78       13.45
contig_507                                      8041        16      108.03       13.44
contig_513                                      8550        17      114.78       13.43
contig_643                                     13592        27      182.30       13.41
contig_723                                      5541        11       74.27       13.40
contig_276                                     11089        22      148.54       13.40
contig_573                                      7079        14       94.53       13.35
contig_134                                     21283        42      283.58       13.32
contig_553                                      4596         9       60.77       13.22
contig_709                                      8692        17      114.78       13.21
contig_178                                      5627        11       74.27       13.20
contig_759                                     15882        31      209.31       13.18
contig_792                                      4101         8       54.02       13.17
contig_237                                      5647        11       74.27       13.15
contig_685                                      5654        11       74.27       13.14
contig_279                                      6700        13       87.78       13.10
contig_255                                      5160        10       67.52       13.09
contig_904                                     22245        43      290.34       13.05
contig_1049                                     3106         6       40.51       13.04
contig_15                                      22811        44      297.09       13.02
contig_567                                     11408        22      148.54       13.02
contig_705                                      8299        16      108.03       13.02
contig_1052                                     7794        15      101.28       12.99
contig_1043                                    21316        41      276.83       12.99
contig_254                                     13002        25      168.80       12.98
contig_1022                                    43195        83      560.42       12.97
contig_627                                      5220        10       67.52       12.93
contig_632                                      9414        18      121.54       12.91
contig_584                                      5238        10       67.52       12.89
contig_605                                     11522        22      148.54       12.89
contig_639                                      9439        18      121.54       12.88
contig_181                                      4720         9       60.77       12.87
contig_533                                      5255        10       67.52       12.85
contig_581                                     41555        79      533.41       12.84
contig_113                                      7904        15      101.28       12.81
contig_937                                      6331        12       81.02       12.80
contig_374                                      5802        11       74.27       12.80
contig_198                                      8975        17      114.78       12.79
contig_140                                      9022        17      114.78       12.72
contig_783                                      5313        10       67.52       12.71
contig_415                                     18103        34      229.57       12.68
contig_619                                      7463        14       94.53       12.67
contig_119                                     10128        19      128.29       12.67
contig_691                                     14388        27      182.30       12.67
contig_208                                     10667        20      135.04       12.66
contig_766                                      8534        16      108.03       12.66
contig_1039                                     3740         7       47.26       12.64
contig_693                                      5350        10       67.52       12.62
contig_537                                      5355        10       67.52       12.61
contig_264                                      4289         8       54.02       12.59
contig_971                                     10745        20      135.04       12.57
contig_58                                       5918        11       74.27       12.55
contig_490                                      6998        13       87.78       12.54
contig_1144                                    21113        39      263.33       12.47
contig_363                                     12998        24      162.05       12.47
contig_948                                      5963        11       74.27       12.46
contig_414                                      7590        14       94.53       12.45
contig_65                                      18478        34      229.57       12.42
contig_1164                                    13055        24      162.05       12.41
contig_384                                      7078        13       87.78       12.40
contig_721                                      4908         9       60.77       12.38
contig_800                                     13156        24      162.05       12.32
contig_889                                      4964         9       60.77       12.24
contig_50                                      13851        25      168.80       12.19
contig_737                                      8880        16      108.03       12.17
contig_535                                     13393        24      162.05       12.10
contig_726                                     22889        41      276.83       12.09
contig_909                                      7267        13       87.78       12.08
contig_815                                      8943        16      108.03       12.08
contig_1157                                    32410        58      391.62       12.08
contig_452                                      7828        14       94.53       12.08
contig_60                                      16221        29      195.81       12.07
contig_94                                      25747        46      310.59       12.06
contig_965                                     13456        24      162.05       12.04
contig_4                                        5069         9       60.77       11.99
contig_313                                     16918        30      202.56       11.97
contig_227                                      7336        13       87.78       11.97
contig_67                                      18628        33      222.82       11.96
contig_57                                       5673        10       67.52       11.90
contig_190                                      7959        14       94.53       11.88
contig_317                                      6826        12       81.02       11.87
contig_265                                      5132         9       60.77       11.84
contig_1031                                     8569        15      101.28       11.82
contig_503                                     23469        41      276.83       11.80
contig_444                                      5723        10       67.52       11.80
contig_407                                      5731        10       67.52       11.78
contig_409                                      9176        16      108.03       11.77
contig_600                                      9779        17      114.78       11.74
contig_648                                      5757        10       67.52       11.73
contig_807                                      5180         9       60.77       11.73
contig_166                                      8649        15      101.28       11.71
contig_37                                      14428        25      168.80       11.70
contig_636                                      4043         7       47.26       11.69
contig_633                                      7515        13       87.78       11.68
contig_606                                     11572        20      135.04       11.67
contig_165                                      9842        17      114.78       11.66
contig_893                                     20853        36      243.07       11.66
contig_1018                                     8704        15      101.28       11.64
contig_273                                      8137        14       94.53       11.62
contig_874                                      6981        12       81.02       11.61
contig_542                                     16880        29      195.81       11.60
contig_200                                     18640        32      216.06       11.59
contig_837                                      9337        16      108.03       11.57
contig_608                                     11101        19      128.29       11.56
contig_711                                      5270         9       60.77       11.53
contig_1131                                    21096        36      243.07       11.52
contig_1020                                     3526         6       40.51       11.49
contig_497                                     19412        33      222.82       11.48
contig_259                                      5885        10       67.52       11.47
contig_396                                     11212        19      128.29       11.44
contig_180                                      8852        15      101.28       11.44
contig_1035                                    29515        50      337.60       11.44
contig_402                                     20073        34      229.57       11.44
contig_236                                     15409        26      175.55       11.39
contig_1181                                    10677        18      121.54       11.38
contig_966                                      7159        12       81.02       11.32
contig_410                                      5372         9       60.77       11.31
contig_819                                      8965        15      101.28       11.30
contig_359                                     16761        28      189.06       11.28
contig_599                                      7780        13       87.78       11.28
contig_1011                                    11977        20      135.04       11.27
contig_304                                      5996        10       67.52       11.26
contig_1034                                     9018        15      101.28       11.23
contig_133                                     17451        29      195.81       11.22
contig_646                                      8443        14       94.53       11.20
contig_251                                     10271        17      114.78       11.18
contig_319                                     10332        17      114.78       11.11
contig_933                                     23748        39      263.33       11.09
contig_575                                      4885         8       54.02       11.06
contig_1159                                    17718        29      195.81       11.05
contig_973                                     11009        18      121.54       11.04
contig_944                                      6120        10       67.52       11.03
contig_18                                      15299        25      168.80       11.03
contig_938                                      4916         8       54.02       10.99
contig_1105                                    28350        46      310.59       10.96
