seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
k141_98109	1	3	153	1952	1.0	1.0	1	3	153	1952	NA	NA	0	1	3	153	1952	1.0	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_98109||full	1.0	ssDNA
k141_98068	1	4	3	1543	0.64	0.64	1	4	3	1543	NA	NA	0	1	4	3	1543	0.64	0.0	0.0	0.0	25.0	25.0	50.0	0	dsDNAphage	linear	k141_98068||full	0.64	dsDNAphage
k141_98061	1	3	2	1086	0.873	0.873	1	3	2	1086	NA	NA	0	1	3	2	1086	0.873	0.0	0.0	0.0	33.3	0.0	66.7	0	dsDNAphage	linear	k141_98061||full	0.873	dsDNAphage
k141_9793	1	3	1	1830	0.713	0.713	1	3	1	1830	NA	NA	0	1	3	1	1830	0.713	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_9793||full	0.713	ssDNA
k141_97802	1	3	3	1266	0.6	0.6	1	3	3	1266	NA	NA	0	1	3	3	1266	0.6	0.0	0.0	0.0	33.3	33.3	33.3	0	dsDNAphage	linear	k141_97802||full	0.6	dsDNAphage
k141_97801	1	8	2	3622	0.94	0.94	1	8	2	3622	NA	NA	0	1	8	2	3622	0.94	0.0	25.0	0.0	50.0	0.0	25.0	1	dsDNAphage	linear	k141_97801||full	0.94	dsDNAphage
k141_97496	1	2	1	2027	0.813	0.813	1	2	1	2027	NA	NA	0	1	2	1	2027	0.813	0.0	0.0	0.0	100.0	0.0	0.0	0	dsDNAphage	linear	k141_97496||full	0.813	dsDNAphage
k141_97249	1	2	2	929	0.96	0.96	1	2	2	929	NA	NA	0	1	2	2	929	0.96	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_97249||full	0.96	ssDNA
k141_97027	1	3	3	1297	0.767	0.767	1	3	3	1297	NA	NA	0	1	3	3	1297	0.767	0.0	33.3	0.0	66.7	0.0	0.0	0	dsDNAphage	linear	k141_97027||full	0.767	dsDNAphage
k141_96966	1	3	3	1539	0.787	0.787	1	3	3	1539	NA	NA	0	1	3	3	1539	0.787	0.0	0.0	0.0	33.3	0.0	66.7	0	dsDNAphage	linear	k141_96966||full	0.787	dsDNAphage
k141_9668	1	3	2	1175	0.813	0.813	1	3	2	1175	NA	NA	0	1	3	2	1175	0.813	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_9668||full	0.813	ssDNA
k141_96584	1	3	1	1965	0.64	0.64	1	3	1	1965	NA	NA	0	1	3	1	1965	0.64	0.0	0.0	0.0	33.3	0.0	66.7	0	dsDNAphage	linear	k141_96584||full	0.64	dsDNAphage
k141_96464	1	4	3	1345	0.74	0.74	1	4	3	1345	NA	NA	0	1	4	3	1345	0.74	0.0	0.0	0.0	25.0	0.0	75.0	0	ssDNA	linear	k141_96464||full	0.74	ssDNA
k141_96050	1	5	3	5083	0.587	0.587	1	5	3	5083	NA	NA	0	1	5	3	5083	0.587	0.0	0.0	0.0	20.0	20.0	60.0	0	dsDNAphage	linear	k141_96050||full	0.587	dsDNAphage
k141_960	1	2	3	982	1.0	1.0	1	2	3	982	NA	NA	0	1	2	3	982	1.0	0.0	0.0	0.0	100.0	0.0	0.0	2	dsDNAphage	linear	k141_960||full	1.0	dsDNAphage
k141_95978	1	3	3	2060	0.727	0.727	1	3	3	2060	NA	NA	0	1	3	3	2060	0.727	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_95978||full	0.727	ssDNA
k141_95526	1	4	1	4376	0.873	0.873	1	4	1	4376	NA	NA	0	1	4	1	4376	0.873	0.0	25.0	0.0	50.0	0.0	25.0	2	dsDNAphage	linear	k141_95526||full	0.873	dsDNAphage
k141_9545	1	2	17	1069	1.0	1.0	1	2	17	1069	NA	NA	0	1	2	17	1069	1.0	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_9545||full	1.0	ssDNA
k141_95307	1	2	204	1244	0.933	0.933	1	2	204	1244	NA	NA	0	1	2	204	1244	0.933	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_95307||full	0.933	ssDNA
k141_95273	1	2	44	1120	0.513	0.513	1	2	44	1120	NA	NA	0	1	2	44	1120	0.513	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_95273||full	0.513	ssDNA
k141_9521	1	2	1	876	0.993	0.993	1	2	1	876	NA	NA	0	1	2	1	876	0.993	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_9521||full	0.993	ssDNA
k141_95208	1	2	2	1358	0.86	0.86	1	2	2	1358	NA	NA	0	1	2	2	1358	0.86	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_95208||full	0.86	ssDNA
k141_95087	1	3	3	1060	0.92	0.92	1	3	3	1060	NA	NA	0	1	3	3	1060	0.92	0.0	0.0	0.0	66.7	0.0	33.3	0	ssDNA	linear	k141_95087||full	0.92	ssDNA
k141_95037	1	2	375	1370	1.0	1.0	1	2	375	1370	NA	NA	0	1	2	375	1370	1.0	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_95037||full	1.0	ssDNA
k141_94978	1	2	125	1341	0.92	0.92	1	2	125	1341	NA	NA	0	1	2	125	1341	0.92	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_94978||full	0.92	ssDNA
k141_9496	1	3	212	1320	0.933	0.933	1	3	212	1320	NA	NA	0	1	3	212	1320	0.933	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_9496||full	0.933	ssDNA
k141_94822	1	3	2	1218	0.887	0.887	1	3	2	1218	NA	NA	0	1	3	2	1218	0.887	0.0	0.0	0.0	66.7	33.3	0.0	0	dsDNAphage	linear	k141_94822||full	0.887	dsDNAphage
k141_94805	1	3	2	1846	0.973	0.973	1	3	2	1846	NA	NA	0	1	3	2	1846	0.973	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_94805||full	0.973	ssDNA
k141_9478	1	4	86	1769	0.547	0.547	1	4	86	1769	NA	NA	0	1	4	86	1769	0.547	0.0	0.0	0.0	50.0	25.0	25.0	0	dsDNAphage	linear	k141_9478||full	0.547	dsDNAphage
k141_94648	1	3	1	1575	0.947	0.947	1	3	1	1575	NA	NA	0	1	3	1	1575	0.947	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_94648||full	0.947	ssDNA
k141_94526	1	4	2	2449	1.0	1.0	1	4	2	2449	NA	NA	0	1	4	2	2449	1.0	0.0	0.0	0.0	100.0	0.0	0.0	2	dsDNAphage	linear	k141_94526||full	1.0	dsDNAphage
k141_94267	1	3	1	1143	0.533	0.533	1	3	1	1143	NA	NA	0	1	3	1	1143	0.533	0.0	0.0	0.0	33.3	33.3	33.3	0	dsDNAphage	linear	k141_94267||full	0.533	dsDNAphage
k141_94153	1	5	1	2299	0.9	0.9	1	5	1	2299	NA	NA	0	1	5	1	2299	0.9	0.0	0.0	0.0	60.0	20.0	20.0	0	dsDNAphage	linear	k141_94153||full	0.9	dsDNAphage
k141_93999	1	4	2	1719	0.82	0.82	1	4	2	1719	NA	NA	0	1	4	2	1719	0.82	0.0	0.0	0.0	50.0	0.0	50.0	0	dsDNAphage	linear	k141_93999||full	0.82	dsDNAphage
k141_93864	1	3	3	1382	0.687	0.687	1	3	3	1382	NA	NA	0	1	3	3	1382	0.687	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_93864||full	0.687	ssDNA
k141_93842	1	5	133	1623	0.993	0.993	1	5	133	1623	NA	NA	0	1	5	133	1623	0.993	0.0	0.0	0.0	40.0	0.0	60.0	0	ssDNA	linear	k141_93842||full	0.993	ssDNA
k141_93810	1	3	171	1728	0.967	0.967	1	3	171	1728	NA	NA	0	1	3	171	1728	0.967	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_93810||full	0.967	ssDNA
k141_93784	1	3	2	1465	0.673	0.673	1	3	2	1465	NA	NA	0	1	3	2	1465	0.673	0.0	0.0	0.0	33.3	0.0	66.7	0	dsDNAphage	linear	k141_93784||full	0.673	dsDNAphage
k141_93777	1	2	68	1311	0.7	0.7	1	2	68	1311	NA	NA	0	1	2	68	1311	0.7	0.0	0.0	0.0	50.0	0.0	50.0	0	dsDNAphage	linear	k141_93777||full	0.7	dsDNAphage
k141_93538	1	3	316	2510	0.907	0.907	1	3	316	2510	NA	NA	0	1	3	316	2510	0.907	0.0	0.0	0.0	100.0	0.0	0.0	0	dsDNAphage	linear	k141_93538||full	0.907	dsDNAphage
k141_93357	1	4	1	1243	0.96	0.96	1	4	1	1243	NA	NA	0	1	4	1	1243	0.96	0.0	0.0	0.0	25.0	0.0	75.0	0	dsDNAphage	linear	k141_93357||full	0.96	dsDNAphage
k141_93317	1	3	2	1186	0.807	0.807	1	3	2	1186	NA	NA	0	1	3	2	1186	0.807	0.0	0.0	0.0	33.3	0.0	66.7	0	dsDNAphage	linear	k141_93317||full	0.807	dsDNAphage
k141_93276	1	2	3	2108	0.64	0.64	1	2	3	2108	NA	NA	0	1	2	3	2108	0.64	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_93276||full	0.64	ssDNA
k141_93224	1	3	3	1690	0.98	0.98	1	3	3	1690	NA	NA	0	1	3	3	1690	0.98	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_93224||full	0.98	ssDNA
k141_93167	1	11	246	6661	0.893	0.893	1	11	246	6661	NA	NA	0	1	11	246	6661	0.893	0.0	18.2	0.0	54.5	0.0	27.3	1	dsDNAphage	linear	k141_93167||full	0.893	dsDNAphage
k141_93078	1	2	396	1033	0.973	0.973	1	2	396	1033	NA	NA	0	1	2	396	1033	0.973	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_93078||full	0.973	ssDNA
k141_9288	1	2	2	897	0.987	0.987	1	2	2	897	NA	NA	0	1	2	2	897	0.987	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_9288||full	0.987	ssDNA
k141_9287	1	5	1	3521	0.86	0.86	1	5	1	3521	NA	NA	0	1	5	1	3521	0.86	0.0	0.0	0.0	60.0	0.0	40.0	0	ssDNA	linear	k141_9287||full	0.86	ssDNA
k141_92772	1	3	1	1834	0.813	0.813	1	3	1	1834	NA	NA	0	1	3	1	1834	0.813	0.0	0.0	0.0	33.3	33.3	33.3	1	dsDNAphage	linear	k141_92772||full	0.813	dsDNAphage
k141_9263	1	3	1	1051	0.98	0.98	1	3	1	1051	NA	NA	0	1	3	1	1051	0.98	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_9263||full	0.98	ssDNA
k141_92606	1	3	3	1104	0.993	0.993	1	3	3	1104	NA	NA	0	1	3	3	1104	0.993	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_92606||full	0.993	ssDNA
k141_92586	1	3	3	1263	0.927	0.927	1	3	3	1263	NA	NA	0	1	3	3	1263	0.927	0.0	0.0	0.0	33.3	0.0	66.7	1	dsDNAphage	linear	k141_92586||full	0.927	dsDNAphage
k141_9246	1	5	3	2488	0.933	0.933	1	5	3	2488	NA	NA	0	1	5	3	2488	0.933	0.0	0.0	0.0	20.0	0.0	80.0	1	dsDNAphage	linear	k141_9246||full	0.933	dsDNAphage
k141_92452	1	4	1	1768	0.5	0.5	1	4	1	1768	NA	NA	0	1	4	1	1768	0.5	0.0	0.0	0.0	25.0	25.0	50.0	0	dsDNAphage	linear	k141_92452||full	0.5	dsDNAphage
k141_92451	1	4	1	2150	0.52	0.52	1	4	1	2150	NA	NA	0	1	4	1	2150	0.52	0.0	0.0	0.0	25.0	0.0	75.0	0	dsDNAphage	linear	k141_92451||full	0.52	dsDNAphage
k141_92346	1	5	2	2031	0.813	0.813	1	5	2	2031	NA	NA	0	1	5	2	2031	0.813	0.0	0.0	0.0	20.0	0.0	80.0	0	ssDNA	linear	k141_92346||full	0.813	ssDNA
k141_92325	1	3	3	1396	0.7	0.7	1	3	3	1396	NA	NA	0	1	3	3	1396	0.7	0.0	0.0	0.0	33.3	0.0	66.7	0	dsDNAphage	linear	k141_92325||full	0.7	dsDNAphage
k141_922	1	5	89	2017	0.993	0.993	1	5	89	2017	NA	NA	0	1	5	89	2017	0.993	0.0	0.0	0.0	40.0	0.0	60.0	0	dsDNAphage	linear	k141_922||full	0.993	dsDNAphage
k141_92094	1	9	254	3334	0.973	0.973	1	9	254	3334	NA	NA	0	1	9	254	3334	0.973	0.0	0.0	0.0	77.8	0.0	22.2	2	dsDNAphage	linear	k141_92094||full	0.973	dsDNAphage
k141_9208	1	3	75	2353	0.993	0.993	1	3	75	2353	NA	NA	0	1	3	75	2353	0.993	0.0	0.0	0.0	66.7	0.0	33.3	0	ssDNA	linear	k141_9208||full	0.993	ssDNA
k141_91856	1	2	383	1344	0.953	0.953	1	2	383	1344	NA	NA	0	1	2	383	1344	0.953	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_91856||full	0.953	ssDNA
k141_91638	1	4	2	1241	0.953	0.953	1	4	2	1241	NA	NA	0	1	4	2	1241	0.953	0.0	0.0	0.0	25.0	0.0	75.0	0	dsDNAphage	linear	k141_91638||full	0.953	dsDNAphage
k141_91518	1	3	57	1824	0.847	0.847	1	3	57	1824	NA	NA	0	1	3	57	1824	0.847	0.0	0.0	0.0	33.3	0.0	66.7	0	dsDNAphage	linear	k141_91518||full	0.847	dsDNAphage
k141_91510	1	5	2	3871	0.633	0.633	1	5	2	3871	NA	NA	0	1	5	2	3871	0.633	0.0	20.0	0.0	40.0	20.0	20.0	2	dsDNAphage	linear	k141_91510||full	0.633	dsDNAphage
k141_91278	1	2	149	1560	0.88	0.88	1	2	149	1560	NA	NA	0	1	2	149	1560	0.88	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_91278||full	0.88	ssDNA
k141_91198	1	3	1	1056	0.88	0.88	1	3	1	1056	NA	NA	0	1	3	1	1056	0.88	0.0	0.0	0.0	33.3	0.0	66.7	1	dsDNAphage	linear	k141_91198||full	0.88	dsDNAphage
k141_9104	1	5	1	2697	0.987	0.987	1	5	1	2697	NA	NA	0	1	5	1	2697	0.987	0.0	0.0	0.0	20.0	0.0	80.0	0	ssDNA	linear	k141_9104||full	0.987	ssDNA
k141_9093	1	4	2	1172	0.613	0.613	1	4	2	1172	NA	NA	0	1	4	2	1172	0.613	0.0	0.0	0.0	25.0	0.0	75.0	0	dsDNAphage	linear	k141_9093||full	0.613	dsDNAphage
k141_9086	1	2	149	1005	0.84	0.84	1	2	149	1005	NA	NA	0	1	2	149	1005	0.84	0.0	0.0	0.0	50.0	0.0	50.0	0	dsDNAphage	linear	k141_9086||full	0.84	dsDNAphage
k141_90715	1	5	2	3150	0.887	0.887	1	5	2	3150	NA	NA	0	1	5	2	3150	0.887	0.0	0.0	0.0	80.0	20.0	0.0	0	dsDNAphage	linear	k141_90715||full	0.887	dsDNAphage
k141_90707	1	2	1	1147	0.64	0.64	1	2	1	1147	NA	NA	0	1	2	1	1147	0.64	0.0	0.0	0.0	50.0	0.0	50.0	0	dsDNAphage	linear	k141_90707||full	0.64	dsDNAphage
k141_90585	1	2	2	1146	0.807	0.807	1	2	2	1146	NA	NA	0	1	2	2	1146	0.807	0.0	0.0	0.0	100.0	0.0	0.0	0	dsDNAphage	linear	k141_90585||full	0.807	dsDNAphage
k141_90582	1	3	847	1738	0.893	0.893	1	3	847	1738	NA	NA	0	1	3	847	1738	0.893	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_90582||full	0.893	ssDNA
k141_90315	1	2	45	1099	0.587	0.587	1	2	45	1099	NA	NA	0	1	2	45	1099	0.587	0.0	0.0	0.0	50.0	50.0	0.0	0	dsDNAphage	linear	k141_90315||full	0.587	dsDNAphage
k141_90057	1	3	2	1063	0.993	0.993	1	3	2	1063	NA	NA	0	1	3	2	1063	0.993	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_90057||full	0.993	ssDNA
k141_9000	1	3	2	1219	0.6	0.6	1	3	2	1219	NA	NA	0	1	3	2	1219	0.6	0.0	0.0	0.0	33.3	0.0	66.7	0	dsDNAphage	linear	k141_9000||full	0.6	dsDNAphage
k141_89991	1	2	119	1282	0.913	0.913	1	2	119	1282	NA	NA	0	1	2	119	1282	0.913	0.0	0.0	0.0	50.0	0.0	50.0	0	dsDNAphage	linear	k141_89991||full	0.913	dsDNAphage
k141_89801	1	3	2	1840	0.653	0.653	1	3	2	1840	NA	NA	0	1	3	2	1840	0.653	0.0	0.0	0.0	66.7	0.0	33.3	0	dsDNAphage	linear	k141_89801||full	0.653	dsDNAphage
k141_89504	1	3	1	2059	0.967	0.967	1	3	1	2059	NA	NA	0	1	3	1	2059	0.967	0.0	0.0	0.0	66.7	0.0	33.3	0	ssDNA	linear	k141_89504||full	0.967	ssDNA
k141_89440	1	2	3	821	0.967	0.967	1	2	3	821	NA	NA	0	1	2	3	821	0.967	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_89440||full	0.967	ssDNA
k141_89281	1	6	2	2112	0.833	0.833	1	6	2	2112	NA	NA	0	1	6	2	2112	0.833	0.0	0.0	0.0	16.7	0.0	83.3	0	dsDNAphage	linear	k141_89281||full	0.833	dsDNAphage
k141_89010	1	6	3	1925	0.953	0.953	1	6	3	1925	NA	NA	0	1	6	3	1925	0.953	0.0	0.0	0.0	100.0	0.0	0.0	5	dsDNAphage	linear	k141_89010||full	0.953	dsDNAphage
k141_88944	1	5	1	1801	0.793	0.793	1	5	1	1801	NA	NA	0	1	5	1	1801	0.793	0.0	20.0	0.0	40.0	0.0	40.0	0	dsDNAphage	linear	k141_88944||full	0.793	dsDNAphage
k141_88917	1	3	2	1671	0.707	0.707	1	3	2	1671	NA	NA	0	1	3	2	1671	0.707	0.0	0.0	0.0	33.3	0.0	66.7	0	dsDNAphage	linear	k141_88917||full	0.707	dsDNAphage
k141_88468	1	2	84	1000	0.88	0.88	1	2	84	1000	NA	NA	0	1	2	84	1000	0.88	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_88468||full	0.88	ssDNA
k141_88431	1	3	12	3091	0.553	0.553	1	3	12	3091	NA	NA	0	1	3	12	3091	0.553	0.0	0.0	0.0	66.7	0.0	33.3	0	dsDNAphage	linear	k141_88431||full	0.553	dsDNAphage
k141_88309	1	3	2	1449	0.907	0.907	1	3	2	1449	NA	NA	0	1	3	2	1449	0.907	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_88309||full	0.907	ssDNA
k141_88174	1	3	1	1357	0.607	0.607	1	3	1	1357	NA	NA	0	1	3	1	1357	0.607	0.0	0.0	0.0	33.3	0.0	66.7	0	dsDNAphage	linear	k141_88174||full	0.607	dsDNAphage
k141_88134	1	3	1	2086	0.847	0.847	1	3	1	2086	NA	NA	0	1	3	1	2086	0.847	0.0	0.0	0.0	66.7	0.0	33.3	0	ssDNA	linear	k141_88134||full	0.847	ssDNA
k141_8811	1	3	1	1024	0.94	0.94	1	3	1	1024	NA	NA	0	1	3	1	1024	0.94	0.0	0.0	0.0	100.0	0.0	0.0	0	dsDNAphage	linear	k141_8811||full	0.94	dsDNAphage
k141_88077	1	3	3	1287	0.533	0.533	1	3	3	1287	NA	NA	0	1	3	3	1287	0.533	0.0	0.0	0.0	33.3	33.3	33.3	0	dsDNAphage	linear	k141_88077||full	0.533	dsDNAphage
k141_88037	1	3	3	2541	0.66	0.66	1	3	3	2541	NA	NA	0	1	3	3	2541	0.66	0.0	0.0	0.0	66.7	0.0	33.3	0	dsDNAphage	linear	k141_88037||full	0.66	dsDNAphage
k141_87851	1	2	202	2880	0.827	0.827	1	2	202	2880	NA	NA	0	1	2	202	2880	0.827	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_87851||full	0.827	ssDNA
k141_87775	1	2	3	1053	0.94	0.94	1	2	3	1053	NA	NA	0	1	2	3	1053	0.94	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_87775||full	0.94	ssDNA
k141_87606	1	4	1	1943	0.927	0.927	1	4	1	1943	NA	NA	0	1	4	1	1943	0.927	0.0	0.0	0.0	25.0	0.0	75.0	0	ssDNA	linear	k141_87606||full	0.927	ssDNA
k141_87563	1	3	72	1381	0.98	0.98	1	3	72	1381	NA	NA	0	1	3	72	1381	0.98	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_87563||full	0.98	ssDNA
k141_8731	1	3	3	1318	0.967	0.967	1	3	3	1318	NA	NA	0	1	3	3	1318	0.967	0.0	0.0	0.0	66.7	0.0	33.3	0	ssDNA	linear	k141_8731||full	0.967	ssDNA
k141_87132	1	2	377	1793	0.66	0.66	1	2	377	1793	NA	NA	0	1	2	377	1793	0.66	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_87132||full	0.66	ssDNA
k141_87119	1	2	114	945	0.947	0.947	1	2	114	945	NA	NA	0	1	2	114	945	0.947	0.0	0.0	0.0	50.0	0.0	50.0	0	dsDNAphage	linear	k141_87119||full	0.947	dsDNAphage
k141_87089	1	2	1	1148	0.993	0.993	1	2	1	1148	NA	NA	0	1	2	1	1148	0.993	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_87089||full	0.993	ssDNA
k141_86848	1	4	222	1977	0.72	0.72	1	4	222	1977	NA	NA	0	1	4	222	1977	0.72	0.0	0.0	0.0	25.0	25.0	50.0	0	dsDNAphage	linear	k141_86848||full	0.72	dsDNAphage
k141_86797	1	6	1	2279	0.947	0.947	1	6	1	2279	NA	NA	0	1	6	1	2279	0.947	0.0	0.0	0.0	50.0	33.3	16.7	3	dsDNAphage	linear	k141_86797||full	0.947	dsDNAphage
k141_86715	1	2	72	1052	0.667	0.667	1	2	72	1052	NA	NA	0	1	2	72	1052	0.667	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_86715||full	0.667	ssDNA
k141_8666	1	4	40	2838	0.733	0.733	1	4	40	2838	NA	NA	0	1	4	40	2838	0.733	0.0	0.0	0.0	25.0	50.0	25.0	1	dsDNAphage	linear	k141_8666||full	0.733	dsDNAphage
k141_86591	1	3	2	1043	0.927	0.927	1	3	2	1043	NA	NA	0	1	3	2	1043	0.927	0.0	0.0	0.0	33.3	0.0	66.7	1	dsDNAphage	linear	k141_86591||full	0.927	dsDNAphage
k141_86429	1	3	1	1000	0.947	0.947	1	3	1	1000	NA	NA	0	1	3	1	1000	0.947	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_86429||full	0.947	ssDNA
k141_86097	1	3	2	1453	0.573	0.573	1	3	2	1453	NA	NA	0	1	3	2	1453	0.573	0.0	0.0	0.0	33.3	33.3	33.3	0	dsDNAphage	linear	k141_86097||full	0.573	dsDNAphage
