tax_id,rank,name,spades_reads,spades_percent,megahit_reads,megahit_percent,total_reads
2842527,C1,Hendrixvirinae,20.0,0.01,15.0,0.03,35.0
2946648,C1,Weiservirinae,23.0,0.01,12.0,0.02,35.0
2732407,P,Lenarviricota,20.0,0.01,14.0,0.03,34.0
2842243,C,Leviviricetes,20.0,0.01,14.0,0.03,34.0
2842332,F,Steitzviridae,20.0,0.01,14.0,0.03,34.0
2842249,O,Timlovirales,20.0,0.01,14.0,0.03,34.0
2843421,G,Menderavirus,19.0,0.01,13.0,0.03,32.0
2560452,S,Punavirus RCS47,15.0,0.0,15.0,0.03,30.0
1590550,S1,Escherichia phage RCS47,15.0,0.0,15.0,0.03,30.0
2732554,O,Imitervirales,22.0,0.01,7.0,0.01,29.0
1623286,G,Casadabanvirus,23.0,0.01,4.0,0.01,27.0
3044751,G,Ludhianavirus,18.0,0.01,8.0,0.02,26.0
10293,F1,Alphaherpesvirinae,21.0,0.01,4.0,0.01,25.0
549779,F,Mimiviridae,19.0,0.01,6.0,0.01,25.0
2650877,S1,Stenotrophomonas phage Mendera,15.0,0.0,10.0,0.02,25.0
2846389,S,Menderavirus mendera,15.0,0.0,10.0,0.02,25.0
2510480,S1,Klebsiella phage ST147-VIM1phi7.1,15.0,0.0,9.0,0.02,24.0
2843116,G,Vimunumvirus,15.0,0.0,9.0,0.02,24.0
186794,G,Lederbergvirus,16.0,0.0,8.0,0.02,24.0
2845097,S,Vimunumvirus ST147VIM1phi71,15.0,0.0,9.0,0.02,24.0
2946175,F,Zierdtviridae,18.0,0.01,5.0,0.01,23.0
10680,S,Enterobacteria phage P4,16.0,0.0,7.0,0.01,23.0
2946162,F,Mesyanzhinovviridae,17.0,0.0,5.0,0.01,22.0
3420540,O,Autographivirales,15.0,0.0,7.0,0.01,22.0
2283028,S1,Pseudomonas phage YMC12/01/R24,19.0,0.01,3.0,0.01,22.0
3059848,S,Casadabanvirus R24,19.0,0.01,3.0,0.01,22.0
2956095,S,Kumaovirus kumao,14.0,0.0,7.0,0.01,21.0
2786405,S1,ssRNA phage SRR5466369_2,11.0,0.0,10.0,0.02,21.0
2946628,C1,Ceeclamvirinae,17.0,0.0,4.0,0.01,21.0
2732978,G,Eganvirus,16.0,0.0,5.0,0.01,21.0
2041344,S1,Mycobacterium phage Kumao,14.0,0.0,7.0,0.01,21.0
2948790,G,Kumaovirus,14.0,0.0,7.0,0.01,21.0
2844652,S,Gihfavirus pelohabitans,11.0,0.0,10.0,0.02,21.0
2842702,G,Gihfavirus,11.0,0.0,10.0,0.02,21.0
140410,G,Peduovirus,16.0,0.0,4.0,0.01,20.0
2560065,F,Herelleviridae,14.0,0.0,6.0,0.01,20.0
2733152,G,Bertelyvirus,14.0,0.0,6.0,0.01,20.0
2946636,F1,Lclasvirinae,14.0,0.0,6.0,0.01,20.0
1982876,C1,Bclasvirinae,14.0,0.0,5.0,0.01,19.0
3429951,S,Inibicvirus 613R3,15.0,0.0,4.0,0.01,19.0
2847061,S1,Escherichia phage ev099,13.0,0.0,6.0,0.01,19.0
2843442,G,Radostvirus,13.0,0.0,6.0,0.01,19.0
3044479,F,Stanwilliamsviridae,14.0,0.0,5.0,0.01,19.0
2946085,S1,Escherichia phage vB_EcoM-613R3,15.0,0.0,4.0,0.01,19.0
1982880,G,Likavirus,12.0,0.0,7.0,0.01,19.0
2844247,S,Radostvirus ev099,13.0,0.0,6.0,0.01,19.0
3153064,G,Inibicvirus,15.0,0.0,4.0,0.01,19.0
3152625,G,Pumpernickelvirus,11.0,0.0,7.0,0.01,18.0
2560178,G,Minunavirus,15.0,0.0,3.0,0.01,18.0
3432031,S,Pumpernickelvirus pumpernickel,11.0,0.0,7.0,0.01,18.0
2885983,S1,Microbacterium phage Pumpernickel,11.0,0.0,7.0,0.01,18.0
2560595,S,Minunavirus Min1,15.0,0.0,3.0,0.01,18.0
446529,S1,Microbacterium phage Min1,15.0,0.0,3.0,0.01,18.0
329158,G1,unclassified Lederbergvirus,10.0,0.0,7.0,0.01,17.0
2948833,G,Myrnavirus,15.0,0.0,2.0,0.0,17.0
2946797,G,Anayavirus,13.0,0.0,4.0,0.01,17.0
1911928,C1,Vequintavirinae,11.0,0.0,5.0,0.01,16.0
1980923,S,Mieseafarmvirus RSL1,10.0,0.0,6.0,0.01,16.0
1980924,S1,Ralstonia phage phiRSL1,10.0,0.0,6.0,0.01,16.0
2731690,F,Demerecviridae,9.0,0.0,7.0,0.01,16.0
1980921,G,Mieseafarmvirus,10.0,0.0,6.0,0.01,16.0
2946629,F1,Emilbogenvirinae,11.0,0.0,4.0,0.01,15.0
2852987,C2,unclassified Hendrixvirinae,8.0,0.0,7.0,0.01,15.0
3044648,F1,Megamimivirinae,13.0,0.0,2.0,0.0,15.0
10319,G,Varicellovirus,13.0,0.0,2.0,0.0,15.0
2946626,F1,Bradleyvirinae,12.0,0.0,3.0,0.01,15.0
480808,S1,Mycobacterium phage Giles,9.0,0.0,5.0,0.01,14.0
2948724,G,Gemsvirus,7.0,0.0,7.0,0.01,14.0
1349409,S,Pandoravirus dulcis,10.0,0.0,4.0,0.01,14.0
1982150,G,Gilesvirus,9.0,0.0,5.0,0.01,14.0
1982151,S,Gilesvirus giles,9.0,0.0,5.0,0.01,14.0
2955946,S,Gemsvirus gv5004652,7.0,0.0,7.0,0.01,14.0
2716352,S1,Escherichia phage 500465-2,7.0,0.0,7.0,0.01,14.0
2843450,G,Sarumanvirus,9.0,0.0,4.0,0.01,13.0
3044690,G,Cobrasixvirus,5.0,0.0,8.0,0.02,13.0
2107709,S,Pandoravirus quercus,9.0,0.0,4.0,0.01,13.0
2786389,S1,ssRNA phage SRR5466337_3,9.0,0.0,4.0,0.01,13.0
2894794,S1,Enterobacter phage vB_EclS_CobraSix,5.0,0.0,8.0,0.02,13.0
2497569,P,Negarnaviricota,10.0,0.0,3.0,0.01,13.0
2732555,O,Pimascovirales,8.0,0.0,5.0,0.01,13.0
2845070,S,Kinglevirus lutadaptatum,9.0,0.0,4.0,0.01,13.0
2842802,G,Kinglevirus,9.0,0.0,4.0,0.01,13.0
3059893,S,Cobrasixvirus cobrasix,5.0,0.0,8.0,0.02,13.0
2733153,G,Colossusvirus,9.0,0.0,4.0,0.01,13.0
1647458,S,Salmonella phage SEN22,6.0,0.0,6.0,0.01,12.0
3424674,F,Stackebrandtviridae,9.0,0.0,3.0,0.01,12.0
2946631,C1,Gclasvirinae,9.0,0.0,3.0,0.01,12.0
2734153,S,Wellingtonvirus wellington,8.0,0.0,4.0,0.01,12.0
3424634,F,Autonotataviridae,9.0,0.0,3.0,0.01,12.0
2733140,G,Wellingtonvirus,8.0,0.0,4.0,0.01,12.0
2801477,S1,Flavobacterium phage vB_FspM_immuto_2-6A,7.0,0.0,5.0,0.01,12.0
186764,G,Fromanvirus,10.0,0.0,2.0,0.0,12.0
2948764,G,Immutovirus,7.0,0.0,5.0,0.01,12.0
2732524,O,Algavirales,7.0,0.0,5.0,0.01,12.0
906669,S,Escherichia phage HK639,6.0,0.0,6.0,0.01,12.0
3424297,C1,Caudoviricetes incertae sedis,7.0,0.0,5.0,0.01,12.0
10663,G,Tequatrovirus,8.0,0.0,4.0,0.01,12.0
10501,F,Phycodnaviridae,7.0,0.0,5.0,0.01,12.0
2955989,S,Immutovirus immuto,7.0,0.0,5.0,0.01,12.0
2599890,S1,Streptomyces phage Gilgamesh,8.0,0.0,3.0,0.01,11.0
2732986,G,Phitrevirus,8.0,0.0,3.0,0.01,11.0
2560286,S,Polybotosvirus Atuph07,8.0,0.0,3.0,0.01,11.0
2560207,G,Polybotosvirus,8.0,0.0,3.0,0.01,11.0
2560070,F1,Bastillevirinae,8.0,0.0,3.0,0.01,11.0
3060806,S,Wroclawvirus PA5oct,5.0,0.0,6.0,0.01,11.0
1754217,S1,Pseudomonas phage phi3,8.0,0.0,3.0,0.01,11.0
2163605,S1,Pseudomonas phage vB_PaeM_PA5oct,5.0,0.0,6.0,0.01,11.0
3152619,G,Gilgameshvirus,8.0,0.0,3.0,0.01,11.0
2734069,S,Phitrevirus phi3,8.0,0.0,3.0,0.01,11.0
3429029,S,Gilgameshvirus gilgamesh,8.0,0.0,3.0,0.01,11.0
2024264,S1,Agrobacterium phage Atu_ph07,8.0,0.0,3.0,0.01,11.0
3059793,S,Branisovskavirus Kc263,5.0,0.0,6.0,0.01,11.0
2863194,S1,Kosakonia phage Kc263,5.0,0.0,6.0,0.01,11.0
2842519,F1,Twarogvirinae,7.0,0.0,4.0,0.01,11.0
3044857,G,Wroclawvirus,5.0,0.0,6.0,0.01,11.0
3044679,G,Branisovskavirus,5.0,0.0,6.0,0.01,11.0
3044459,F,Arenbergviridae,5.0,0.0,6.0,0.01,11.0
2734193,S,Bertelyvirus SC,6.0,0.0,4.0,0.01,10.0
2844207,S,Marienburgvirus JLK2012,5.0,0.0,5.0,0.01,10.0
2843420,G,Marienburgvirus,5.0,0.0,5.0,0.01,10.0
2283271,S1,Caulobacter phage CcrPW,6.0,0.0,4.0,0.01,10.0
1147722,S1,Escherichia phage JLK-2012,5.0,0.0,5.0,0.01,10.0
2283272,S1,Caulobacter phage CcrSC,6.0,0.0,4.0,0.01,10.0
2014434,S,Escherichia phage D6,6.0,0.0,4.0,0.01,10.0
1605721,S,Pandoravirus inopinatum,8.0,0.0,2.0,0.0,10.0
2080449,S,Acanthamoeba castellanii medusavirus,7.0,0.0,3.0,0.01,10.0
2734195,S,Colossusvirus PW,6.0,0.0,4.0,0.01,10.0
2946625,F1,Boydwoodruffvirinae,7.0,0.0,3.0,0.01,10.0
1982557,G,Smoothievirus,7.0,0.0,3.0,0.01,10.0
2027899,S2,Mycobacterium phage Phabba,8.0,0.0,1.0,0.0,9.0
2006684,S1,Pseudomonas phage Noxifer,6.0,0.0,3.0,0.01,9.0
3421322,O1,Pimascovirales incertae sedis,5.0,0.0,4.0,0.01,9.0
1623278,G,Bronvirus,7.0,0.0,2.0,0.0,9.0
1982877,F1,Mclasvirinae,7.0,0.0,2.0,0.0,9.0
181083,G,Chlorovirus,5.0,0.0,4.0,0.01,9.0
10713,S,Enterobacteria phage phi80,4.0,0.0,5.0,0.01,9.0
10294,G,Simplexvirus,7.0,0.0,2.0,0.0,9.0
3403061,R2,Viruses incertae sedis,8.0,0.0,1.0,0.0,9.0
1623297,G,Stanholtvirus,8.0,0.0,1.0,0.0,9.0
2956211,S1,Myranavirus phabba,8.0,0.0,1.0,0.0,9.0
2716351,S1,Escherichia phage 500465-1,5.0,0.0,4.0,0.01,9.0
2956672,S,Wadgaonvirus wv5004651,5.0,0.0,4.0,0.01,9.0
680115,G,Phikzvirus,5.0,0.0,4.0,0.01,9.0
1147158,S,Enterobacteria phage mEp390,5.0,0.0,4.0,0.01,9.0
2560190,G,Noxifervirus,6.0,0.0,3.0,0.01,9.0
1196844,G,Hpunavirus,4.0,0.0,5.0,0.01,9.0
2170091,S,Pulverervirus PFR1,7.0,0.0,2.0,0.0,9.0
2107708,S,Pandoravirus neocaledonia,7.0,0.0,2.0,0.0,9.0
2948951,G,Wadgaonvirus,5.0,0.0,4.0,0.01,9.0
2560671,S,Noxifervirus noxifer,6.0,0.0,3.0,0.01,9.0
2733154,G,Poindextervirus,5.0,0.0,4.0,0.01,9.0
2733155,G,Shapirovirus,7.0,0.0,2.0,0.0,9.0
2734192,S,Bertelyvirus BL9,7.0,0.0,2.0,0.0,9.0
3430982,S,Myrnavirus phabba,8.0,0.0,1.0,0.0,9.0
2283270,S1,Caulobacter phage CcrBL9,7.0,0.0,2.0,0.0,9.0
2169655,G,Pulverervirus,7.0,0.0,2.0,0.0,9.0
3044696,G,Cuauhnahuacvirus,4.0,0.0,4.0,0.01,8.0
2732012,F1,Ermolyevavirinae,4.0,0.0,4.0,0.01,8.0
2497570,P1,Haploviricotina,6.0,0.0,2.0,0.0,8.0
2497574,C,Monjiviricetes,6.0,0.0,2.0,0.0,8.0
3044646,C1,Joanripponvirinae,5.0,0.0,3.0,0.01,8.0
3044647,F1,Loccivirinae,6.0,0.0,2.0,0.0,8.0
2499072,S1,Streptomyces phage Hiyaa,6.0,0.0,2.0,0.0,8.0
2732408,P,Pisuviricota,5.0,0.0,3.0,0.01,8.0
1226260,S1,Stx2-converting phage Stx2a_WGPS2,5.0,0.0,3.0,0.01,8.0
3044468,F,Kleczkowskaviridae,4.0,0.0,4.0,0.01,8.0
2560122,G,Dismasvirus,5.0,0.0,3.0,0.01,8.0
2843451,G,Sawaravirus,5.0,0.0,3.0,0.01,8.0
2948939,G,Unicornvirus,4.0,0.0,4.0,0.01,8.0
2843343,G,Aguilavirus,4.0,0.0,4.0,0.01,8.0
3424859,F1,Schenleyvirinae,6.0,0.0,2.0,0.0,8.0
2733180,G,Hiyaavirus,6.0,0.0,2.0,0.0,8.0
2734239,S,Hiyaavirus hiyaa,6.0,0.0,2.0,0.0,8.0
3060017,S,Fadolivirus algeromassiliense,5.0,0.0,3.0,0.01,8.0
2946632,C1,Gracegardnervirinae,5.0,0.0,3.0,0.01,8.0
2946647,F1,Toshachvirinae,7.0,0.0,1.0,0.0,8.0
3044772,G,Natevirus,5.0,0.0,3.0,0.01,8.0
2843366,G,Cimandefvirus,6.0,0.0,2.0,0.0,8.0
3060406,S,Natevirus nate,5.0,0.0,3.0,0.01,8.0
1982878,C1,Pclasvirinae,6.0,0.0,2.0,0.0,8.0
1674927,S1,Streptomyces phage Lannister,4.0,0.0,4.0,0.01,8.0
1977630,F1,Klosneuvirinae,5.0,0.0,3.0,0.01,8.0
1978007,O,Crassvirales,5.0,0.0,3.0,0.01,8.0
2894788,S1,Bacillus phage vB_BanS_Nate,5.0,0.0,3.0,0.01,8.0
1982889,S,Likavirus lannister,4.0,0.0,4.0,0.01,8.0
1838138,S1,Propionibacterium phage PFR2,6.0,0.0,2.0,0.0,8.0
2763561,G,Fadolivirus,5.0,0.0,3.0,0.01,8.0
2844234,S,Sawaravirus WGPS2,5.0,0.0,3.0,0.01,8.0
10240,F,Poxviridae,5.0,0.0,2.0,0.0,7.0
2793708,S1,Streptomyces phage TurkishDelight,4.0,0.0,3.0,0.01,7.0
2919549,S1,Aeromonas phage 65,5.0,0.0,2.0,0.0,7.0
260149,S,Ishigurovirus osborne,5.0,0.0,2.0,0.0,7.0
11157,O,Mononegavirales,5.0,0.0,2.0,0.0,7.0
2842716,G,Hadassahvirus,4.0,0.0,3.0,0.01,7.0
10678,S,Punavirus P1,4.0,0.0,3.0,0.01,7.0
10241,F1,Chordopoxvirinae,5.0,0.0,2.0,0.0,7.0
2015825,S1,Mycobacterium phage Unicorn,3.0,0.0,4.0,0.01,7.0
2562666,G1,unclassified Dismasvirus,4.0,0.0,3.0,0.01,7.0
2843008,G,Riverridervirus,5.0,0.0,2.0,0.0,7.0
2842517,F1,Emmerichvirinae,5.0,0.0,2.0,0.0,7.0
2842766,G,Ishigurovirus,5.0,0.0,2.0,0.0,7.0
3059911,S,Cuauhnahuacvirus Y65,3.0,0.0,4.0,0.01,7.0
2732929,G,Ampunavirus,6.0,0.0,1.0,0.0,7.0
2108116,S1,Xanthomonas phage RiverRider,5.0,0.0,2.0,0.0,7.0
2732527,O,Chitovirales,5.0,0.0,2.0,0.0,7.0
1349410,S,Pandoravirus salinus,5.0,0.0,2.0,0.0,7.0
3428314,S,Dolmabahcevirus turkishdelight,4.0,0.0,3.0,0.01,7.0
2732525,C,Pokkesviricetes,5.0,0.0,2.0,0.0,7.0
2846672,S,Riverridervirus riverrider,5.0,0.0,2.0,0.0,7.0
2840070,O,Lefavirales,6.0,0.0,1.0,0.0,7.0
2509785,S1,Rhizobium phage RHph_Y65,3.0,0.0,4.0,0.01,7.0
2840056,C,Naldaviricetes,6.0,0.0,1.0,0.0,7.0
3152508,G,Dolmabahcevirus,4.0,0.0,3.0,0.01,7.0
2943001,F,Casjensviridae,5.0,0.0,2.0,0.0,7.0
1198139,G,Bcepmuvirus,5.0,0.0,2.0,0.0,7.0
2560111,G,Ceetrepovirus,6.0,0.0,1.0,0.0,7.0
2956580,S,Unicornvirus unicorn,3.0,0.0,4.0,0.01,7.0
10442,F,Baculoviridae,6.0,0.0,1.0,0.0,7.0
2169623,G,Erskinevirus,5.0,0.0,2.0,0.0,7.0
2014586,S1,Erwinia phage EtG,6.0,0.0,0.0,0.0,6.0
3424652,F,Hodgkinviridae,4.0,0.0,2.0,0.0,6.0
3044697,G,Cyamitesvirus,4.0,0.0,2.0,0.0,6.0
2734089,S,Baikalvirus PaBG,4.0,0.0,2.0,0.0,6.0
2015851,S1,Corynebacterium phage Poushou,4.0,0.0,2.0,0.0,6.0
1486472,S1,Mycobacterium phage Gaia,3.0,0.0,3.0,0.01,6.0
2842661,G,Eceepunavirus,3.0,0.0,3.0,0.01,6.0
942016,S1,Enterobacter phage EcP1,3.0,0.0,3.0,0.01,6.0
1623281,G,Cheoctovirus,4.0,0.0,2.0,0.0,6.0
2591025,S1,Aeromonas phage LAh10,4.0,0.0,2.0,0.0,6.0
2590895,S1,Gordonia phage Mollymur,5.0,0.0,1.0,0.0,6.0
2734059,S,Eganvirus EtG,6.0,0.0,0.0,0.0,6.0
2733094,G,Baikalvirus,4.0,0.0,2.0,0.0,6.0
3044768,G,Mollymurvirus,5.0,0.0,1.0,0.0,6.0
2733172,G,Daredevilvirus,5.0,0.0,1.0,0.0,6.0
10257,G,Parapoxvirus,4.0,0.0,2.0,0.0,6.0
1029988,S1,Erwinia phage phiEaH2,4.0,0.0,2.0,0.0,6.0
2948922,G,Thalassavirus,4.0,0.0,2.0,0.0,6.0
328615,S,Trichoplusia ni ascovirus 2c,3.0,0.0,3.0,0.01,6.0
1720324,G,Hollowayvirus,5.0,0.0,1.0,0.0,6.0
2560396,S,Poushouvirus Poushou,4.0,0.0,2.0,0.0,6.0
2560732,S,Punavirus SJ46,3.0,0.0,3.0,0.01,6.0
3153083,G,Finkelvirus,3.0,0.0,3.0,0.01,6.0
2592223,S1,Salmonella phage SW9,4.0,0.0,2.0,0.0,6.0
984175,S,Cronobacter phage ENT39118,3.0,0.0,3.0,0.01,6.0
2734229,S,Daredevilvirus daredevil,5.0,0.0,1.0,0.0,6.0
1335230,S1,Pseudomonas phage PaBG,4.0,0.0,2.0,0.0,6.0
328613,G1,unclassified Ascovirus,3.0,0.0,3.0,0.01,6.0
464095,O,Picornavirales,4.0,0.0,2.0,0.0,6.0
1815968,S1,Salmonella phage SJ46,3.0,0.0,3.0,0.01,6.0
43682,F,Ascoviridae,3.0,0.0,3.0,0.01,6.0
1982148,S,Gaiavirus gaia,3.0,0.0,3.0,0.01,6.0
3428776,S,Finkelvirus finkel,3.0,0.0,3.0,0.01,6.0
1982898,G,Coopervirus,5.0,0.0,1.0,0.0,6.0
2842814,G,Kwaitsingvirus,4.0,0.0,2.0,0.0,6.0
2948665,G,Cinqassovirus,4.0,0.0,2.0,0.0,6.0
1982113,G,Gaiavirus,3.0,0.0,3.0,0.01,6.0
2732506,C,Pisoniviricetes,4.0,0.0,2.0,0.0,6.0
2283286,S1,Gordonia phage Daredevil,5.0,0.0,1.0,0.0,6.0
2169883,S,Erskinevirus EaH2,4.0,0.0,2.0,0.0,6.0
3080801,G,Moumouvirus,5.0,0.0,1.0,0.0,6.0
3044643,F1,Demetervirinae,4.0,0.0,2.0,0.0,6.0
2846110,S,Eganvirus SW9,4.0,0.0,2.0,0.0,6.0
2926099,S1,Gordonia phage Finkle,3.0,0.0,3.0,0.01,6.0
2844120,S,Eceepunavirus EcP1,3.0,0.0,3.0,0.01,6.0
43680,G,Ascovirus,3.0,0.0,3.0,0.01,6.0
2560209,G,Poushouvirus,4.0,0.0,2.0,0.0,6.0
2732977,G,Citexvirus,6.0,0.0,0.0,0.0,6.0
1983735,G,Phayoncevirus,4.0,0.0,2.0,0.0,6.0
3060173,S,Ludhianavirus LAh10,4.0,0.0,2.0,0.0,6.0
3060390,S,Mollymurvirus mollymur,5.0,0.0,1.0,0.0,6.0
3412727,C,Pharingeaviricetes,4.0,0.0,1.0,0.0,5.0
1813613,S,Picornavirales Bu-3,3.0,0.0,2.0,0.0,5.0
264729,S,Bcepmuvirus bcepMu,3.0,0.0,2.0,0.0,5.0
2843457,G,Sleepyheadvirus,4.0,0.0,1.0,0.0,5.0
2601632,S1,Pseudomonas phage vB_PaeM_PS119XW,3.0,0.0,2.0,0.0,5.0
2560689,S,Chakrabartyvirus pf16,3.0,0.0,2.0,0.0,5.0
936054,S1,Enterobacteria phage VT2phi_272,3.0,0.0,2.0,0.0,5.0
10357,F1,Betaherpesvirinae,4.0,0.0,1.0,0.0,5.0
1147151,S,Enterobacteria phage mEp237,2.0,0.0,3.0,0.01,5.0
1910976,F1,Guernseyvirinae,3.0,0.0,2.0,0.0,5.0
2834256,S1,Pseudomonas phage Medea1,2.0,0.0,3.0,0.01,5.0
1883366,S1,Synechococcus phage S-CAM3,3.0,0.0,2.0,0.0,5.0
2843638,S,Hadassahvirus pht2,3.0,0.0,2.0,0.0,5.0
1147140,S,Salmonella phage SPN3UB,3.0,0.0,2.0,0.0,5.0
1910936,S,Agatevirus bobb,3.0,0.0,2.0,0.0,5.0
1910931,G,Agatevirus,3.0,0.0,2.0,0.0,5.0
3431388,S,Parapoxvirus bovinestomatitis,3.0,0.0,2.0,0.0,5.0
3430767,S,Medeavirus medea1,2.0,0.0,3.0,0.01,5.0
546805,S1,Mycobacterium phage Myrna,4.0,0.0,1.0,0.0,5.0
2948656,G,Celiavirus,5.0,0.0,0.0,0.0,5.0
2497571,P1,Polyploviricotina,4.0,0.0,1.0,0.0,5.0
2732008,P,Preplasmiviricota,4.0,0.0,1.0,0.0,5.0
3151839,O,Hareavirales,4.0,0.0,1.0,0.0,5.0
129727,S1,Bovine papular stomatitis virus,3.0,0.0,2.0,0.0,5.0
1980418,F,Phenuiviridae,4.0,0.0,1.0,0.0,5.0
1647476,S,Tsukamurella phage TPA4,3.0,0.0,2.0,0.0,5.0
1958965,S1,Ralstonia phage RS-PI-1,4.0,0.0,1.0,0.0,5.0
3151693,C,Bunyaviricetes,4.0,0.0,1.0,0.0,5.0
2919553,S2,Mycobacterium phage LeBron,4.0,0.0,1.0,0.0,5.0
2560094,G,Asteriusvirus,3.0,0.0,2.0,0.0,5.0
2843376,G,Donellivirus,4.0,0.0,1.0,0.0,5.0
3152510,G,Medeavirus,2.0,0.0,3.0,0.01,5.0
2690230,S1,Acinetobacter phage vB_AbaM_PhT2,3.0,0.0,2.0,0.0,5.0
2956212,S,Myrnavirus myrna,4.0,0.0,1.0,0.0,5.0
2560113,G,Chakrabartyvirus,3.0,0.0,2.0,0.0,5.0
2560128,G,Eneladusvirus,5.0,0.0,0.0,0.0,5.0
39944,S1,Caprine alphaherpesvirus 1,4.0,0.0,1.0,0.0,5.0
2846061,S,Sleepyheadvirus sleepyhead,4.0,0.0,1.0,0.0,5.0
2530033,S1,Burkholderia phage BcepSauron,4.0,0.0,1.0,0.0,5.0
2843897,S,Sarumanvirus bcepsauron,4.0,0.0,1.0,0.0,5.0
2843400,G,Karimacvirus,3.0,0.0,2.0,0.0,5.0
3424670,F,Sarkviridae,3.0,0.0,2.0,0.0,5.0
1678078,S,Mollivirus sibericum,3.0,0.0,2.0,0.0,5.0
1815630,S1,Pseudomonas phage pf16,3.0,0.0,2.0,0.0,5.0
3060524,S,Pawinskivirus PS119XW,3.0,0.0,2.0,0.0,5.0
1560342,S,Acinetobacter phage YMC13/03/R2096,2.0,0.0,3.0,0.01,5.0
2733100,G,Charybdisvirus,3.0,0.0,2.0,0.0,5.0
3044787,G,Pawinskivirus,3.0,0.0,2.0,0.0,5.0
1981159,G,Oslovirus,3.0,0.0,2.0,0.0,5.0
3424638,F,Berryhillviridae,3.0,0.0,2.0,0.0,5.0
2734102,S,Charybdisvirus scam3,3.0,0.0,2.0,0.0,5.0
1981156,C1,Sepvirinae,3.0,0.0,2.0,0.0,5.0
2732559,O,Rowavirales,4.0,0.0,1.0,0.0,5.0
1527469,S1,Bacillus phage Bobb,3.0,0.0,2.0,0.0,5.0
2843432,G,Pankowvirus,3.0,0.0,2.0,0.0,5.0
2169529,F,Ackermannviridae,3.0,0.0,2.0,0.0,5.0
1981168,S,Oslovirus PA2,3.0,0.0,2.0,0.0,5.0
3427627,S,Bronvirus bron,4.0,0.0,1.0,0.0,5.0
2843161,G,Zicotriavirus,3.0,0.0,2.0,0.0,5.0
2946815,G,Backyardiganvirus,3.0,0.0,2.0,0.0,5.0
2884420,S1,Bacillus phage G,4.0,0.0,1.0,0.0,5.0
2881392,S1,Burkholderia phage BcepMu,3.0,0.0,2.0,0.0,5.0
3050252,S,Varicellovirus caprinealpha1,4.0,0.0,1.0,0.0,5.0
1983744,G,Bongovirus,4.0,0.0,1.0,0.0,5.0
2733174,G,Feofaniavirus,3.0,0.0,2.0,0.0,5.0
2733200,G,Oneupvirus,4.0,0.0,1.0,0.0,5.0
2733590,S,Ampunavirus RSPI1,4.0,0.0,1.0,0.0,5.0
10508,F,Adenoviridae,4.0,0.0,1.0,0.0,5.0
2590946,S1,Streptomyces phage Celia,5.0,0.0,0.0,0.0,5.0
675074,O1,unclassified Picornavirales,3.0,0.0,2.0,0.0,5.0
1623288,G,Liefievirus,4.0,0.0,1.0,0.0,5.0
