name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Condavirus sp. 'arvihabitans'	2844003	S	8594	0	8594	0.00005
Thidevirus sp. 'edaphovivens'	2846439	S	1334	0	1334	0.00001
Leviviridae sp.	2027243	S	470	0	470	0.00000
Osigowavirus sp. 'insecticola'	2845718	S	383	0	383	0.00000
Febihevirus sp. 'ruminicola'	2844279	S	140	0	140	0.00000
Trotivirus asiovicinum	3433009	S	8456	0	8456	0.00005
Trotivirus soladaptatum	3433018	S	8302	0	8302	0.00005
Trotivirus neoasiovicinum	3433014	S	3604	0	3604	0.00002
Ticahravirus asiovicinum	2846447	S	20245	0	20245	0.00013
Ideskevirus lutadaptatum	2845005	S	20031	0	20031	0.00013
Hahsevirus borboradaptatum	3429146	S	14284	0	14284	0.00009
Hahsevirus caenadaptatum	3429147	S	4543	0	4543	0.00003
Hahsevirus geoenecus	3429150	S	826	0	826	0.00001
Qubevirus faecium	39804	S	11117	0	11117	0.00007
Qubevirus durum	39803	S	8180	0	8180	0.00005
Lohmavirus borborovivens	2845531	S	19061	0	19061	0.00012
Cunavirus pretoriense	2844049	S	18709	0	18709	0.00012
Oxychlovirus terrivicinum	2845725	S	3111	0	3111	0.00002
Oxychlovirus terrihabitans	2845724	S	2798	0	2798	0.00002
Oxychlovirus tellurivivens	3431552	S	2310	0	2310	0.00001
Oxychlovirus terrenecus	2845722	S	2066	0	2066	0.00001
Oxychlovirus humadaptatum	2845721	S	1890	0	1890	0.00001
Oxychlovirus terrivivens	2845726	S	1762	0	1762	0.00001
Oxychlovirus tellurivicinum	3431551	S	1640	0	1640	0.00001
Oxychlovirus terricola	2845723	S	1145	0	1145	0.00001
Tehnexuvirus edaphadaptatum	2846429	S	16705	0	16705	0.00011
Onohmuvirus pelenecus	2845716	S	14935	0	14935	0.00010
Manrohovirus lutadaptatum	2845570	S	14559	0	14559	0.00009
Dunchevirus limicola	3428423	S	13404	0	13404	0.00009
Wohudhevirus asienecus	2846666	S	11901	0	11901	0.00008
Phobpsivirus agricola	2845833	S	8610	0	8610	0.00005
Phobpsivirus agradaptatum	2845832	S	2799	0	2799	0.00002
Ineyimevirus lutivicinum	2845009	S	6604	0	6604	0.00004
Ineyimevirus lutihabitans	2845008	S	4687	0	4687	0.00003
Tysohivirus limenecus	3433045	S	11037	0	11037	0.00007
Behevivirus limivivens	2843834	S	10628	0	10628	0.00007
Darnbovirus asiadaptatum	2844059	S	10392	0	10392	0.00007
Behlfluvirus lutadaptatum	2843835	S	10142	0	10142	0.00006
Denfovirus borborenecus	2844081	S	10032	0	10032	0.00006
Draycavirus humivivens	3428335	S	9993	0	9993	0.00006
Perrunavirus olsenii	2845804	S	9643	0	9643	0.00006
Muyegivirus borborenecus	2845647	S	9585	0	9585	0.00006
Philtcovirus borboradaptatum	2845831	S	9430	0	9430	0.00006
Kirnavirus lutenecus	2845071	S	9036	0	9036	0.00006
Glyciruvirus geovivens	2844655	S	7202	0	7202	0.00005
Glyciruvirus geovicinum	2844654	S	1781	0	1781	0.00001
Andhasavirus borborocola	2843687	S	5189	0	5189	0.00003
Andhasavirus agrivivens	2843686	S	3295	0	3295	0.00002
Psimevirus pedocola	2845974	S	5593	0	5593	0.00004
Psimevirus caenivicinum	2845973	S	3132	0	3132	0.00002
Imeberivirus luticola	2845007	S	4806	0	4806	0.00003
Imeberivirus lutenecus	2845006	S	3590	0	3590	0.00002
Gunawavirus borboradaptatum	2844798	S	8353	0	8353	0.00005
Lihtdlivirus edaphenecus	3430393	S	8244	0	8244	0.00005
Bihdovirus pelohabitans	2843848	S	8092	0	8092	0.00005
Konkivirus lutihabitans	2845113	S	7993	0	7993	0.00005
Empivirus allolyticum	2844116	S	7679	0	7679	0.00005
Dorudgevirus caenadaptatum	3428327	S	7665	0	7665	0.00005
Eahsevirus limicola	3428432	S	5502	0	5502	0.00004
Eahsevirus limihabitans	3428433	S	2002	0	2002	0.00001
Jiesduavirus defluviicola	2845030	S	7341	0	7341	0.00005
Fagihyuvirus agrihabitans	3428646	S	2553	0	2553	0.00002
Fagihyuvirus agrivicinum	3428647	S	1780	0	1780	0.00001
Fagihyuvirus caenivicinum	2844276	S	1554	0	1554	0.00001
Fagihyuvirus tegeticola	3428652	S	1156	0	1156	0.00001
Keghovirus borborovivens	2845044	S	5905	0	5905	0.00004
Keghovirus caenadaptatum	2845045	S	789	0	789	0.00001
Saudhavirus asiohabitans	3432270	S	6108	0	6108	0.00004
Rusvolovirus asiadaptatum	2846076	S	3549	0	3549	0.00002
Rusvolovirus asienecus	2846077	S	2406	0	2406	0.00002
Dahmuvirus insecticola	2844054	S	5856	0	5856	0.00004
Teciucevirus pelohabitans	2846426	S	5831	0	5831	0.00004
Yohcadevirus borborocola	2846691	S	5470	0	5470	0.00003
Mekintivirus lutihabitans	2845580	S	5454	0	5454	0.00003
Swihdzovirus paludicola	2846418	S	5416	0	5416	0.00003
Trucevirus pedenecus	2846579	S	5308	0	5308	0.00003
Pehsaduvirus asiovivens	2845783	S	5292	0	5292	0.00003
Tohvovirus borborohabitans	2846455	S	5127	0	5127	0.00003
Shihovirus caenadaptatum	2846209	S	3490	0	3490	0.00002
Shihovirus edaphohabitans	3241305	S	1339	0	1339	0.00001
Poncivirus insecticola	2845872	S	4402	0	4402	0.00003
Smudhfivirus lutadaptatum	2846235	S	4232	0	4232	0.00003
Lowsuvirus geocola	3430500	S	1511	0	1511	0.00001
Lowsuvirus geovivens	3430502	S	1354	0	1354	0.00001
Lowsuvirus geovicinum	3430501	S	1176	0	1176	0.00001
Opdykovirus pelocola	2845717	S	3995	0	3995	0.00003
Dursuvirus choradaptatum	3428426	S	3570	0	3570	0.00002
Dursuvirus arvihabitans	2843705	S	198	0	198	0.00000
Mehraxmevirus pedohabitans	2845578	S	2482	0	2482	0.00002
Mehraxmevirus arvivicinum	3430785	S	1261	0	1261	0.00001
Chaedoavirus insecticola	2843927	S	3656	0	3656	0.00002
Ludtovirus agrivivens	3430515	S	2513	0	2513	0.00002
Ludtovirus chorocola	3430516	S	734	0	734	0.00000
Shomudavirus limadaptatum	2846215	S	3141	0	3141	0.00002
Tenwovirus luticola	3432722	S	2836	0	2836	0.00002
Tenwovirus pelohabitans	3432723	S	303	0	303	0.00000
Garovuvirus peladaptatum	2844406	S	3116	0	3116	0.00002
Loghdhuvirus borborovicinum	3430429	S	3053	0	3053	0.00002
Pepevirus sp. 'spumicola'	2845799	S	2341	0	2341	0.00001
Pepevirus rubrum	2845798	S	620	0	620	0.00000
Breudwovirus borborohabitans	2843881	S	2707	6336	9043	0.00006
Icumivirus limivivens	2845004	S	2681	0	2681	0.00002
Cahrpivirus humenecus	2843902	S	1858	0	1858	0.00001
Cahrpivirus caenivivens	2843901	S	623	0	623	0.00000
Rehihmevirus terrenecus	2846054	S	2457	0	2457	0.00002
Rehudzovirus terrihabitans	2846055	S	2377	0	2377	0.00002
Hahdsevirus borborenecus	2844809	S	2366	0	2366	0.00002
Dortuvirus fonticola	3428326	S	2291	0	2291	0.00001
Seybrovirus borborohabitans	2846191	S	2282	0	2282	0.00001
Cahdavirus humicola	2843899	S	2238	0	2238	0.00001
Niankuvirus caenivicinum	2845678	S	2192	0	2192	0.00001
Owenocuvirus pelohabitans	2845720	S	2189	0	2189	0.00001
Meblowovirus defluviicola	2845577	S	2140	0	2140	0.00001
Soetuvirus lutenecus	2846237	S	2056	0	2056	0.00001
Nadsecevirus borborocola	2845661	S	1912	0	1912	0.00001
Boschuvirus borborocola	2843866	S	1907	0	1907	0.00001
Dosmizivirus solihabitans	2844096	S	1841	0	1841	0.00001
Gorodievirus telluradaptatum	2844680	S	1755	0	1755	0.00001
Kiwsmaevirus defluviicola	2845073	S	1546	0	1546	0.00001
Yemegivirus asiovivens	2846677	S	1323	0	1323	0.00001
Oceshuvirus lutenecus	2845696	S	1319	0	1319	0.00001
Ushumevirus caenivicinum	2846594	S	1305	0	1305	0.00001
Halcalevirus arvivivens	2844811	S	1297	0	1297	0.00001
Kahfsdivirus asiovicinum	2845036	S	1232	0	1232	0.00001
Depandovirus solicola	2844082	S	1183	0	1183	0.00001
Pudlivirus limivicinum	2845988	S	1148	0	1148	0.00001
Stehlmavirus lutihabitans	2846383	S	1067	0	1067	0.00001
Whilavirus pelohabitans	2846661	S	1043	0	1043	0.00001
Amubhivirus agrivicinum	2843683	S	979	0	979	0.00001
Dihsdivirus solenecus	2844084	S	944	0	944	0.00001
Tapikevirus pelocola	2846425	S	482	0	482	0.00000
Loslovirus caenicola	2845538	S	399	0	399	0.00000
Bisdanovirus hydrocola	2843850	S	388	0	388	0.00000
Ureyisuvirus caenihabitans	2846587	S	244	0	244	0.00000
Puirovirus sp. 'lutenecus'	2845992	S	7202116	0	7202116	0.04587
Puirovirus lutadaptatum	2845991	S	4231	0	4231	0.00003
Andihavirus borborohabitans	2843692	S	933987	0	933987	0.00595
Fahrmivirus caenivivens	2844277	S	209405	0	209405	0.00133
Fahrmivirus limadaptatum	2844278	S	3057	0	3057	0.00002
Odiravirus sp. 'lutihabitans'	2845698	S	86094	0	86094	0.00055
Wishivirus sp. 'defluviicola'	2846665	S	223	0	223	0.00000
Oekfovirus sp. 'lutivicinum'	2845702	S	87	0	87	0.00000
Mahshuvirus limivivens	2845565	S	29333	0	29333	0.00019
Jargovirus pelovivens	2845028	S	21088	0	21088	0.00013
Mintinovirus pelovicinum	2845611	S	7559	0	7559	0.00005
Mintinovirus pelohabitans	2845610	S	938	0	938	0.00001
Wahlkovirus borborenecus	2843672	S	7171	0	7171	0.00005
Wahlkovirus terrenecus	3433311	S	197	0	197	0.00000
Eosonovirus caenenecus	2844154	S	5823	0	5823	0.00004
Tyrahlevirus caenicola	2846585	S	2299	0	2299	0.00001
Dibaevirus borborocola	2844083	S	1808	0	1808	0.00001
Thiuhmevirus pedadaptatum	2846440	S	1679	0	1679	0.00001
Upirshuvirus terricola	3433081	S	678	0	678	0.00000
Upirshuvirus tellurivivens	3433079	S	599	0	599	0.00000
Upirshuvirus terradaptatum	3433080	S	380	0	380	0.00000
Dilzevirus borborohabitans	2844086	S	1593	0	1593	0.00001
Insbruvirus lutivivens	2845012	S	1244	0	1244	0.00001
Vendavirus caenivivens	2846595	S	1107	0	1107	0.00001
Voulevirus limivivens	2846620	S	912	0	912	0.00001
Whahdcavirus peladaptatum	3433443	S	797	0	797	0.00001
Etdyvivirus caenicola	2844270	S	735	0	735	0.00000
Puhrivirus limivivens	2845990	S	726	0	726	0.00000
Hinehbovirus caenihabitans	2844832	S	677	0	677	0.00000
Tohkunevirus borborocola	2846454	S	259	0	259	0.00000
Sexopuavirus agricola	2846190	S	159	0	159	0.00000
Wahbolevirus lutadaptatum	2846621	S	3024379	0	3024379	0.01926
Coughduvirus asiovivens	3428102	S	497920	0	497920	0.00317
Coughduvirus borboradaptatum	3428103	S	65686	0	65686	0.00042
Coughduvirus asiovicinum	3428101	S	36243	0	36243	0.00023
Coughduvirus asiohabitans	3428100	S	20350	0	20350	0.00013
Mitdiwavirus caenicola	3430900	S	584685	0	584685	0.00372
Mitdiwavirus asiocola	2845617	S	1432	0	1432	0.00001
Hirvovirus caenivicinum	2844835	S	336585	0	336585	0.00214
Chinihovirus lutihabitans	2843940	S	293998	0	293998	0.00187
Casfavirus pelocola	3427819	S	110670	0	110670	0.00070
Apihcavirus borborovicinum	2843702	S	80331	0	80331	0.00051
Apihcavirus arvenecus	2843701	S	14482	0	14482	0.00009
Apihcavirus neoborborovicinum	3426403	S	767	0	767	0.00000
Pohlydovirus arvivivens	2845869	S	81374	0	81374	0.00052
Pohlydovirus arvivicinum	2845868	S	309	0	309	0.00000
Bahdevuvirus limadaptatum	2843796	S	67936	0	67936	0.00043
Bahdevuvirus caenivivens	2843795	S	6206	0	6206	0.00004
Aldormivirus pelenecus	3426016	S	17743	0	17743	0.00011
Aldormivirus luticola	3426012	S	6143	0	6143	0.00004
Aldormivirus defluviicola	3426011	S	4576	0	4576	0.00003
Aldormivirus lutihabitans	3426013	S	2256	0	2256	0.00001
Aldormivirus peladaptatum	3426015	S	2198	0	2198	0.00001
Aldormivirus lutivivens	3426014	S	1435	0	1435	0.00001
Pihngevirus limenecus	3431674	S	15899	0	15899	0.00010
Pihngevirus agrivivens	2845844	S	12150	0	12150	0.00008
Pihngevirus chorocola	2845846	S	675	0	675	0.00000
Pihngevirus choradaptatum	2845845	S	522	0	522	0.00000
Alkesdovirus tellurivicinum	3426080	S	16381	0	16381	0.00010
Alkesdovirus pelovicinum	3426079	S	2245	0	2245	0.00001
Alkesdovirus pelenecus	3426077	S	1735	0	1735	0.00001
Alkesdovirus tellurivivens	3426081	S	1192	0	1192	0.00001
Alkesdovirus terricola	3426083	S	975	0	975	0.00001
Alkesdovirus pelohabitans	3426078	S	612	0	612	0.00000
Alkesdovirus terradaptatum	3426082	S	589	0	589	0.00000
Firunevirus limicola	2844284	S	20094	0	20094	0.00013
Dugnivirus solivicinum	2844106	S	16310	0	16310	0.00010
Dugnivirus solivivens	2844107	S	2171	0	2171	0.00001
Dugnivirus chthonadaptatum	2844105	S	332	0	332	0.00000
Yekorevirus terrivivens	2846676	S	14479	0	14479	0.00009
Blinduvirus asiadaptatum	2843854	S	10498	0	10498	0.00007
Blinduvirus terrihabitans	2843855	S	847	0	847	0.00001
Hysdruvirus tellurihabitans	2844998	S	6741	0	6741	0.00004
Hysdruvirus tellurenecus	2844996	S	622	0	622	0.00000
Hysdruvirus telluricola	2844997	S	578	0	578	0.00000
Hysdruvirus tellurivicinum	2844999	S	532	0	532	0.00000
Hysdruvirus humihabitans	3429881	S	495	0	495	0.00000
Hysdruvirus geovivens	2844994	S	423	0	423	0.00000
Hysdruvirus telluradaptatum	2844995	S	405	0	405	0.00000
Stupavirus chorovivens	2846410	S	7761	0	7761	0.00005
Stupavirus arvadaptatum	2846409	S	542	0	542	0.00000
Neratovirus caenihabitans	2845676	S	7749	0	7749	0.00005
Monekavirus asiovivens	2845638	S	6088	0	6088	0.00004
Lahcomavirus asienecus	2845482	S	4000	0	4000	0.00003
Lobdovirus chorovicinum	2845528	S	1197	0	1197	0.00001
Lobdovirus arvenecus	2845526	S	1110	0	1110	0.00001
Lobdovirus arvicola	2845527	S	742	0	742	0.00000
Lobdovirus arvadaptatum	2845525	S	660	0	660	0.00000
Lobdovirus chorovivens	2845529	S	147	0	147	0.00000
Huhmpluvirus limenecus	2844979	S	3811	0	3811	0.00002
Kempsvovirus caenivivens	2845059	S	3439	0	3439	0.00002
Yeshinuvirus humadaptatum	2846683	S	1744	0	1744	0.00001
Yeshinuvirus humicola	2846684	S	364	0	364	0.00000
Bruncluvirus chorohabitans	3427631	S	2054	0	2054	0.00001
Diydovirus borborovicinum	2844090	S	1450	0	1450	0.00001
Moloevirus chthonenecus	2845631	S	1298	0	1298	0.00001
Bilifuvirus defluviicola	2843849	S	1124	0	1124	0.00001
Helacdivirus borborovicinum	2844822	S	1116	0	1116	0.00001
Arihsbuvirus caenadaptatum	2843718	S	1088	0	1088	0.00001
Andhevirus chorohabitans	2843691	S	963	0	963	0.00001
Huleruivirus geocola	2844983	S	897	0	897	0.00001
Kuhfotivirus pelohabitans	2845119	S	866	0	866	0.00001
Sdribtuvirus humivicinum	2846172	S	757	0	757	0.00000
Alvostovirus lutivicinum	3426328	S	712	0	712	0.00000
Kihrivirus limicola	2845064	S	687	0	687	0.00000
Psoetuvirus pedenecus	2845978	S	648	0	648	0.00000
Pagohnivirus humenecus	2845751	S	592	0	592	0.00000
Ichonovirus limivicinum	2845003	S	386	0	386	0.00000
Whodehavirus pelovicinum	2846662	S	361	0	361	0.00000
Madisduvirus caenivivens	2845556	S	299	0	299	0.00000
Niginuvirus limadaptatum	2845681	S	260	0	260	0.00000
Chounavirus chorenecus	2843946	S	246	0	246	0.00000
Cahtebovirus humivicinum	2843904	S	208	0	208	0.00000
Scloravirus humicola	2846166	S	200	0	200	0.00000
Hehspivirus edaphadaptatum	2844820	S	193	0	193	0.00000
Kudohovirus pelocola	2845118	S	169	0	169	0.00000
Wecineivirus lutihabitans	2846624	S	126	0	126	0.00000
Isoihlovirus terrihabitans	2845021	S	112	0	112	0.00000
Wulosvivirus asiocola	2846669	S	90	0	90	0.00000
Cihsnivirus pelenecus	2843949	S	60	0	60	0.00000
Gohshovirus asiadaptatum	2844657	S	24	0	24	0.00000
Kimihcavirus limivivens	2845069	S	20	0	20	0.00000
Kohmavirus luticola	2845112	S	67506	0	67506	0.00043
Apeevirus quebecense	2843696	S	39625	0	39625	0.00025
Samuneavirus asiocola	2846144	S	5526	0	5526	0.00004
Kahshuvirus borborenecus	2845039	S	2522	0	2522	0.00002
Tehuhdavirus pelovivens	2846434	S	533	0	533	0.00000
Beshanovirus aquicola	2843839	S	531	0	531	0.00000
Kinglevirus lutadaptatum	2845070	S	10829043	0	10829043	0.06897
Gihfavirus pelohabitans	2844652	S	6921689	0	6921689	0.04408
