Sample	Species	Taxonomy_ID	Assigned_Reads	Fraction	RPM
SRR35987572	Alehxovirus borboradaptatum	2843666	33620	0.00021	214.11721275535848
SRR35987572	Ashcevirus caenenecus	2843737	33530	0.00021	213.54402568968382
SRR35987572	Cimandefvirus Ggerry	2846046	33441	0.00021	212.97720736918333
SRR35987572	Audreyjarvisvirus L47	2845480	33393	0.00021	212.6715076008235
SRR35987572	Cahrlavirus caenivicinum	2843900	32964	0.00021	209.9393159211076
SRR35987572	Tobamovirus rehmanniae	3432888	32771	0.00021	208.71014810249417
SRR35987572	Wyahnevirus asiohabitans	2846670	32559	0.00021	207.3599741255716
SRR35987572	Scuadavirus asiohabitans	2846168	32442	0.00021	206.61483094019454
SRR35987572	Inbricusvirus inbricus	2845970	32262	0.00021	205.46845680884522
SRR35987572	Huhbevirus chthonovicinum	2844974	32008	0.0002	203.85079553460784
SRR35987572	Pandoravirus macleodensis	2107707	31939	0.0002	203.41135211759058
SRR35987572	Chihyovirus lutenecus	2843937	30630	0.0002	195.07466468461126
SRR35987572	Gahlovirus lutihabitans	2844311	30497	0.00019	194.22762157644758
SRR35987572	Potexvirus pepini	3433856	30207	0.00019	192.38068547594034
SRR35987572	Orthotospovirus capsicimaculaflavi	3052569	29836	0.00019	190.01788101632587
SRR35987572	Mahqeavirus limihabitans	2845562	29770	0.00019	189.59754383483113
SRR35987572	Nymphadoravirus bosnia	3060424	29694	0.00019	189.11351920159476
SRR35987572	Poindextervirus BL10	2734196	29477	0.00019	187.73150149880138
SRR35987572	Mahshuvirus limivivens	2845565	29333	0.00019	186.81440219372192
SRR35987572	Pandoravirus inopinatum	1605721	29184	0.00019	185.86545916277166
SRR35987572	Rauchvirus BPP1	194699	29001	0.00018	184.69997879589982
SRR35987572	Hohrdovirus edaphovivens	2844842	28882	0.00018	183.94209812017442
SRR35987572	Caloevirus humivivens	2843906	28819	0.00018	183.54086717420216
SRR35987572	Hodnevirus monochorenecus	3429533	28642	0.00018	182.41359927837533
SRR35987572	Widsokivirus pelovivens	2846663	28637	0.00018	182.3817555525045
SRR35987572	Wuhan insect virus 23	1923727	28559	0.00018	181.88499342891978
SRR35987572	Luthavirus edaphovicinum	2845549	28387	0.00018	180.78956925896378
SRR35987572	Whietlevirus defluviicola	2846660	28286	0.00018	180.1463259963733
SRR35987572	Carjivirus communis	2955582	28219	0.00018	179.71962006970438
SRR35987572	Hohrdovirus pedovivens	2844849	28182	0.00018	179.48397649826035
SRR35987572	Moovirus moo	3060392	28151	0.00018	179.28654539786132
SRR35987572	Picardvirus picard	2734264	27635	0.00018	176.00027288799322
SRR35987572	Berdovirus luticola	2843837	27596	0.00018	175.75189182620088
SRR35987572	Lohngkovirus borborovivens	3430432	27523	0.00018	175.28697342848696
SRR35987572	Alegriavirus av2B8	2844171	27166	0.00017	173.01333140131078
SRR35987572	Menderavirus mendera	2846389	27144	0.00017	172.8732190074792
SRR35987572	Avunavirus Av05	2560440	26967	0.00017	171.74595111165235
SRR35987572	Sincthavirus limivicinum	2846231	26852	0.00017	171.01354541662363
SRR35987572	Potexvirus ecscacti	3433821	26814	0.00017	170.77153310000546
SRR35987572	Gehnevirus pelenecus	2844407	26556	0.00017	169.1283968450714
SRR35987572	Parlovirus parlo	2846185	26523	0.00017	168.91822825432402
SRR35987572	Pomeroyivirus V13	2846075	26335	0.00017	167.7209041615814
SRR35987572	Andrewvirus andrew	2734214	26280	0.00017	167.37062317700241
SRR35987572	Nehwtovirus limadaptatum	3431073	26216	0.00017	166.96302348585598
SRR35987572	Ubei picorna-like virus 3	1923781	26043	0.00017	165.86123057072578
SRR35987572	Apis mellifera filamentous virus	1100043	25988	0.00017	165.51094958614684
SRR35987572	Kuhshuvirus pelovicinum	2845120	25979	0.00017	165.45363087957938
SRR35987572	Bromovirus BMV	3427622	25704	0.00016	163.70222595668457
SRR35987572	Thobivirus asiohabitans	2846443	25614	0.00016	163.12903889100988
SRR35987572	Eerlswovirus asiohabitans	3428446	25529	0.00016	162.58769555120605
SRR35987572	Ashucavirus caenivicinum	2843740	25469	0.00016	162.20557084075625
SRR35987572	Konmavirus lutivicinum	2845114	25290	0.00016	161.06556545458108
SRR35987572	Plateaulakevirus pv2L372X	2843647	24995	0.00016	159.18678562820304
SRR35987572	Cobrasixvirus cobrasix	3059893	24891	0.00016	158.52443613009007
SRR35987572	Hodnevirus solenecus	2843816	24512	0.00016	156.11068170908231
SRR35987572	Mintuvirus asiadaptatum	2845612	24469	0.00016	155.8368256665933
SRR35987572	Philippevirus philippe	3060551	24350	0.00016	155.07894499086794
SRR35987572	Haeldovirus asiohabitans	3429138	24200	0.00015	154.12363321474348
SRR35987572	Simplexvirus macropodidalpha4	3060711	24113	0.00015	153.5695523845913
SRR35987572	Giliycovirus chthonovicinum	3429038	23824	0.00015	151.7289850292582
SRR35987572	Pandoravirus quercus	2107709	23733	0.00015	151.14942921840938
SRR35987572	Kihryuvirus limihabitans	2845065	23685	0.00015	150.84372945004955
SRR35987572	Fiyodovirus limihabitans	2844285	23682	0.00015	150.82462321452707
SRR35987572	Streptococcus phage phiNJ2	1239381	23475	0.00015	149.50629296347532
SRR35987572	Wphvirus BPS10C	2560329	23394	0.00015	148.99042460436812
SRR35987572	Jupbevirus asiohabitans	2845035	23338	0.00015	148.633774874615
SRR35987572	Cyvirus anguillidallo1	3050136	23273	0.00015	148.21980643829443
SRR35987572	Duhcivirus defluviicola	2844108	23120	0.00015	147.24538842664748
SRR35987572	Muminvirus mymlan	2844294	23100	0.00015	147.11801352316422
SRR35987572	Hubei picorna-like virus 62	1923145	23061	0.00015	146.86963246137188
SRR35987572	Microbacterium phage AnnaLie	2772023	23004	0.00015	146.5066139864446
SRR35987572	Alphaendornavirus phaseoli	3426184	22973	0.00015	146.30918288604553
SRR35987572	Phabquatrovirus PHB04	2734129	22671	0.00014	144.38582184344833
SRR35987572	Johnsonvirus frozen	1982578	22534	0.00014	143.513303754588
SRR35987572	Shenzhenvirus AhSzw1	2733999	22532	0.00014	143.50056626423967
SRR35987572	Anaposvirus socalone	2734083	22486	0.00014	143.20760398622818
SRR35987572	Yahnavirus asiovicinum	2846675	22482	0.00014	143.18212900553152
SRR35987572	Bohwovirus asiocola	2843858	22293	0.00014	141.97843616761475
SRR35987572	Haihevirus PP9W2	3429152	22161	0.00014	141.13776180462523
SRR35987572	Chobevirus lutivicinum	2843943	22041	0.00014	140.37351238372565
SRR35987572	Hukohnovirus limicola	2844980	21946	0.00014	139.7684815921802
SRR35987572	Limaivirus borborocola	2845512	21667	0.00014	137.99160168858873
SRR35987572	Vindevirus pedovicinum	2846610	21649	0.00014	137.8769642754538
SRR35987572	Xylella phage Xfas53	670252	21567	0.00014	137.3547271711724
SRR35987572	Alehxovirus agrihabitans	2843662	21513	0.00014	137.0108149317676
SRR35987572	Pourcelvirus Axy11	2843622	21451	0.00014	136.6159527309695
SRR35987572	Alphabaculovirus sp. 'altermaconfiguratae'	3048196	21121	0.00013	134.51426682349575
SRR35987572	Pamexvirus PaMx28	1982357	21107	0.00013	134.42510439105746
SRR35987572	Jargovirus pelovivens	2845028	21088	0.00013	134.30409823274837
SRR35987572	Kemicevirus caenihabitans	2845057	21083	0.00013	134.27225450687754
SRR35987572	Maaswegvirus Kp24	3060175	21080	0.00013	134.25314827135506
SRR35987572	Hubei picorna-like virus 63	1923146	21041	0.00013	134.00476720956271
SRR35987572	Percavirus rhinolophidgamma1	3060539	21015	0.00013	133.83917983503446
SRR35987572	Radbaivirus edaphovicinum	3432109	20741	0.00013	132.09414365731382
SRR35987572	Maxrubnervirus PMBT3	2734251	20524	0.00013	130.71212595452047
SRR35987572	Ralstonia phage RSP15	1785960	20439	0.00013	130.17078261471661
SRR35987572	Pacehavirus pelovicinum	2845729	20402	0.00013	129.93513904327259
SRR35987572	Litunavirus Pap02	3060168	20375	0.00013	129.76318292357016
SRR35987572	Coughduvirus asiohabitans	3428100	20350	0.00013	129.60396429421613
SRR35987572	Gorganvirus isfahan	2560650	20316	0.00013	129.38742695829455
SRR35987572	Pandoravirus dulcis	1349409	20253	0.00013	128.9861960123223
SRR35987572	Ticahravirus asiovicinum	2846447	20245	0.00013	128.935246050929
SRR35987572	Luthavirus edaphovivens	2845550	20116	0.00013	128.11367792346198
SRR35987572	Firunevirus limicola	2844284	20094	0.00013	127.97356552963039
SRR35987572	Ideskevirus lutadaptatum	2845005	20031	0.00013	127.57233458365812
SRR35987572	Vohsuavirus soladaptatum	2846617	20031	0.00013	127.57233458365812
SRR35987572	Molucevirus geoadaptatum	2845635	20003	0.00013	127.39400971878158
SRR35987572	Decapodiridovirus litopenaeus1	3428192	19983	0.00013	127.26663481529829
SRR35987572	Xooduovirus QDWS359	3433525	19972	0.00013	127.1965786183825
SRR35987572	Cauhldivirus limicola	2843921	19967	0.00013	127.1647348925117
SRR35987572	Andhaxevirus chorenecus	2843689	19909	0.00013	126.79534767241026
SRR35987572	Chahsmivirus limivicinum	2843931	19889	0.00013	126.66797276892697
SRR35987572	Hodnevirus neochthonocola	3429582	19847	0.00013	126.40048547161214
SRR35987572	Emesvirus zinderi	329852	19831	0.00013	126.29858554882553
SRR35987572	Triplejayvirus tripleJ	2843732	19668	0.00013	125.26048008543698
SRR35987572	Cauhldivirus limenecus	2843920	19235	0.00012	122.50281342502441
SRR35987572	Carlavirus latensallii	3427762	19210	0.00012	122.34359479567034
SRR35987572	Alehxovirus asiovicinum	2843664	19149	0.00012	121.9551013400464
SRR35987572	Hollowayvirus F116	280701	19088	0.00012	121.56660788442245
SRR35987572	Lohmavirus borborovivens	2845531	19061	0.00012	121.39465176472005
SRR35987572	Molucevirus chthonovicinum	2845633	19051	0.00012	121.33096431297844
SRR35987572	Piponevirus borborocola	2845848	19045	0.00012	121.29275184193345
SRR35987572	Alehxovirus pedohabitans	3426056	19037	0.00012	121.24180188054015
SRR35987572	Zicotriavirus ZC08	2845968	18943	0.00012	120.64313983416882
SRR35987572	Webervirus F20	1095076	18839	0.00012	119.98079033605588
SRR35987572	Cunavirus pretoriense	2844049	18709	0.00012	119.1528534634147
SRR35987572	Alphanucleorhabdovirus pruni	2845774	18644	0.00012	118.7388850270941
SRR35987572	Tupanvirus salinum	3060758	18412	0.00012	117.2613361466883
SRR35987572	Alehxovirus asiovivens	2843665	18245	0.00012	116.19775570260309
SRR35987572	Dehkhevirus borboradaptatum	2844070	18231	0.00012	116.10859327016482
SRR35987572	Audreyjarvisvirus WRP3	2845462	18123	0.00012	115.4207687913552
SRR35987572	Shenzhenvirus AhSzq1	2733998	18046	0.00011	114.93037541294467
SRR35987572	Vohsuavirus pedovivens	2846616	17777	0.00011	113.21718296109482
SRR35987572	Aldormivirus pelenecus	3426016	17743	0.00011	113.00064562517329
SRR35987572	Waedenswilvirus S6	2844164	17727	0.00011	112.89874570238668
SRR35987572	Mieseafarmvirus RSL1	1980923	17698	0.00011	112.71405209233596
SRR35987572	Fudhoevirus lutadaptatum	2844305	17314	0.00011	110.26845394545738
SRR35987572	Shewanella sp. phage 3/49	1458863	17311	0.00011	110.2493477099349
SRR35987572	Dahmuivirus pelovivens	2844053	17160	0.00011	109.28766718863629
SRR35987572	Tehnicivirus sp. 'pelovicinum'	2846433	17117	0.00011	109.01381114614728
SRR35987572	Punavirus P1	10678	17044	0.00011	108.54889274843339
SRR35987572	Luhtdivirus caenihabitans	3430532	16934	0.00011	107.84833077927546
SRR35987572	Aquareovirus oncorhynchi	57747	16763	0.00011	106.75927535449358
SRR35987572	Tehnexuvirus edaphadaptatum	2846429	16705	0.00011	106.38988813439214
SRR35987572	Bihckevirus asiadaptatum	2843482	16643	0.00011	105.99502593359404
SRR35987572	Eiauvirus eiAU	1982112	16612	0.00011	105.79759483319498
SRR35987572	Hodnevirus neoedaphocola	3429588	16519	0.00011	105.20530153199783
SRR35987572	Alkesdovirus tellurivicinum	3426080	16381	0.0001	104.32641469796334
SRR35987572	Orthoreovirus papionis	3158380	16331	0.0001	104.0079774392552
SRR35987572	Dugnivirus solivicinum	2844106	16310	0.0001	103.87423379059777
SRR35987572	Poindextervirus rogue	2748760	16290	0.0001	103.74685888711451
SRR35987572	Zurivirus zuri	2845969	16274	0.0001	103.64495896432791
SRR35987572	Sobemovirus BSSV	3432493	16232	0.0001	103.37747166701305
SRR35987572	Hodnevirus neopedovicinum	3429611	16224	0.0001	103.32652170561977
