================================================================================
Viral Abundance Report (MEGAHIT) - llnl_66ce4dde
================================================================================

Total mapped reads: 4,535,221
Viral contigs detected: 12878

Contig ID                      Length (bp)     Reads      RPM          RPKM         Identity (%)
k141_72531                     122177          17010      3750.64      30.70        42.50       
k141_163652                    24826           3448       760.27       30.62        51.30       
k141_165407                    22584           3135       691.26       30.61        33.90       
k141_170768                    24343           3364       741.75       30.47        43.10       
k141_33171                     3103            428        94.37        30.41        46.60       
k141_176642                    1626            224        49.39        30.38        28.20       
k141_74201                     1289            177        39.03        30.28        28.20       
k141_162421                    1531            209        46.08        30.10        51.70       
k141_2416                      2669            364        80.26        30.07        38.00       
k141_11907                     27791           3785       834.58       30.03        26.60       
k141_102149                    21191           2877       634.37       29.94        45.50       
k141_28992                     2021            273        60.20        29.79        55.30       
k141_61522                     1301            175        38.59        29.66        35.10       
k141_115161                    41724           5610       1236.98      29.65        50.00       
k141_9571                      71530           9611       2119.19      29.63        45.00       
k141_76113                     1214            162        35.72        29.42        33.00       
k141_128330                    5911            775        170.88       28.91        49.20       
k141_163892                    8729            1132       249.60       28.59        35.10       
k141_141478                    6600            855        188.52       28.56        38.10       
k141_153625                    1608            207        45.64        28.38        33.20       
k141_12373                     1500            193        42.56        28.37        49.10       
k141_88861                     2433            312        68.79        28.28        25.60       
k141_165093                    16506           2104       463.92       28.11        36.70       
k141_38467                     1248            159        35.06        28.09        45.20       
k141_75417                     1292            164        36.16        27.99        36.30       
k141_112087                    1812            229        50.49        27.87        39.40       
k141_149700                    2131            269        59.31        27.83        43.30       
k141_16784                     1003            126        27.78        27.70        31.90       
k141_78476                     1300            163        35.94        27.65        31.40       
k141_3771                      1263            158        34.84        27.58        25.50       
k141_6076                      1128            141        31.09        27.56        35.70       
k141_148749                    2097            262        57.77        27.55        28.50       
k141_155606                    2556            319        70.34        27.52        34.60       
k141_116575                    5843            728        160.52       27.47        28.00       
k141_130569                    1729            215        47.41        27.42        31.80       
k141_112113                    1537            191        42.11        27.40        24.60       
k141_70859                     2889            358        78.94        27.32        52.40       
k141_131707                    1689            209        46.08        27.28        45.30       
k141_116515                    1949            240        52.92        27.15        35.90       
k141_24543                     9593            1163       256.44       26.73        28.00       
k141_101707                    2254            273        60.20        26.71        49.40       
k141_143527                    3658            443        97.68        26.70        33.70       
k141_114400                    2697            326        71.88        26.65        38.80       
k141_164038                    22351           2701       595.56       26.65        38.20       
k141_155028                    1963            237        52.26        26.62        36.00       
k141_18305                     27565           3295       726.54       26.36        29.90       
k141_24698                     14153           1683       371.10       26.22        40.50       
k141_76071                     2680            318        70.12        26.16        52.40       
k141_180121                    5618            663        146.19       26.02        33.70       
k141_93462                     8768            1032       227.55       25.95        25.20       
k141_15064                     14547           1710       377.05       25.92        26.00       
k141_62826                     20883           2453       540.88       25.90        31.40       
k141_69377                     1814            213        46.97        25.89        53.30       
k141_109839                    33274           3901       860.16       25.85        24.40       
k141_118790                    1035            121        26.68        25.78        43.60       
k141_18506                     1241            145        31.97        25.76        31.40       
k141_66451                     3064            355        78.28        25.55        29.90       
k141_17534                     96239           11131      2454.35      25.50        42.50       
k141_18971                     1246            144        31.75        25.48        42.00       
k141_15766                     47298           5466       1205.23      25.48        43.20       
k141_73963                     12642           1459       321.70       25.45        28.70       
k141_142179                    60340           6963       1535.32      25.44        24.70       
k141_151512                    3033            350        77.17        25.44        25.90       
k141_30192                     32215           3711       818.26       25.40        47.20       
k141_4519                      14491           1668       367.79       25.38        32.50       
k141_58756                     4944            569        125.46       25.38        23.70       
k141_55487                     7413            853        188.08       25.37        24.50       
k141_132191                    1385            159        35.06        25.31        49.00       
k141_107891                    3843            441        97.24        25.30        28.10       
k141_58138                     41611           4773       1052.43      25.29        30.30       
k141_177076                    26515           3021       666.12       25.12        27.20       
k141_7250                      97293           11084      2443.98      25.12        48.80       
k141_100324                    2714            309        68.13        25.10        40.30       
k141_132757                    19951           2271       500.75       25.10        38.50       
k141_89154                     22326           2541       560.28       25.10        34.60       
k141_96611                     67321           7656       1688.12      25.08        46.10       
k141_31312                     57928           6588       1452.63      25.08        45.30       
k141_144057                    1424            162        35.72        25.08        28.80       
k141_162257                    54712           6218       1371.05      25.06        35.50       
k141_90512                     4716            536        118.19       25.06        24.80       
k141_134560                    23341           2652       584.76       25.05        30.30       
k141_37413                     23767           2698       594.90       25.03        25.50       
k141_34546                     4928            559        123.26       25.01        35.70       
k141_36637                     24016           2723       600.41       25.00        24.80       
k141_25929                     1112            126        27.78        24.98        33.90       
k141_37852                     42114           4769       1051.55      24.97        28.40       
k141_111154                    12215           1380       304.29       24.91        22.60       
k141_79736                     17867           2014       444.08       24.85        26.00       
k141_17759                     11062           1246       274.74       24.84        40.30       
k141_169722                    5263            593        130.75       24.84        24.70       
k141_166438                    68528           7713       1700.69      24.82        49.60       
k141_50727                     36949           4158       916.82       24.81        27.10       
k141_2728                      86311           9710       2141.02      24.81        34.50       
k141_57369                     143499          16135      3557.71      24.79        49.50       
k141_181328                    106310          11933      2631.18      24.75        28.10       
k141_65287                     10943           1228       270.77       24.74        28.90       
k141_16105                     61909           6944       1531.13      24.73        56.70       
k141_37495                     49911           5588       1232.13      24.69        31.70       
k141_76862                     54730           6126       1350.76      24.68        50.30       
k141_129004                    110722          12387      2731.29      24.67        39.60       
k141_15157                     1155            129        28.44        24.63        36.20       
k141_145432                    1380            154        33.96        24.61        53.60       
k141_170603                    4517            504        111.13       24.60        49.40       
k141_171866                    30899           3444       759.39       24.58        28.90       
k141_178094                    34812           3881       855.75       24.58        40.80       
k141_1972                      144340          16087      3547.13      24.57        47.70       
k141_157442                    35440           3947       870.30       24.56        24.40       
k141_25135                     2300            256        56.45        24.54        31.90       
k141_32979                     33439           3709       817.82       24.46        25.60       
k141_10788                     7336            813        179.26       24.44        32.90       
k141_122975                    35696           3954       871.84       24.42        27.90       
k141_2600                      22312           2471       544.85       24.42        31.40       
k141_90906                     6156            681        150.16       24.39        44.80       
k141_140447                    5812            643        141.78       24.39        29.40       
k141_136611                    2247            248        54.68        24.34        35.20       
k141_6434                      14270           1575       347.28       24.34        30.00       
k141_53355                     20772           2291       505.16       24.32        44.90       
k141_129616                    1434            158        34.84        24.29        31.70       
k141_157848                    1154            127        28.00        24.27        25.90       
k141_145033                    7876            867        191.17       24.27        37.90       
k141_136399                    5663            623        137.37       24.26        23.90       
k141_118566                    1818            200        44.10        24.26        26.10       
k141_70741                     12611           1385       305.39       24.22        36.60       
k141_54668                     1366            150        33.07        24.21        23.00       
k141_160486                    2196            241        53.14        24.20        37.70       
k141_50876                     10742           1179       259.97       24.20        46.80       
k141_8704                      48207           5287       1165.76      24.18        29.70       
k141_145355                    3630            398        87.76        24.18        32.70       
k141_143830                    4502            493        108.70       24.15        49.00       
k141_35408                     46061           5043       1111.96      24.14        35.60       
k141_121249                    22173           2426       534.92       24.13        40.00       
k141_86068                     10675           1166       257.10       24.08        29.40       
k141_50563                     30458           3322       732.49       24.05        32.50       
k141_148906                    1468            160        35.28        24.03        28.60       
k141_24159                     5085            554        122.16       24.02        45.90       
k141_55734                     18889           2055       453.12       23.99        23.30       
k141_140863                    4709            512        112.89       23.97        51.20       
k141_119982                    1073            116        25.58        23.84        46.10       
k141_67191                     16350           1765       389.18       23.80        23.60       
k141_28122                     3912            422        93.05        23.79        47.20       
k141_25052                     26901           2903       640.10       23.79        40.80       
k141_169982                    3607            389        85.77        23.78        31.50       
k141_145565                    1286            138        30.43        23.66        31.10       
k141_10716                     2026            217        47.85        23.62        31.30       
k141_168926                    1382            148        32.63        23.61        38.10       
k141_46530                     13794           1475       325.23       23.58        35.90       
k141_96251                     1744            186        41.01        23.52        26.90       
k141_56966                     12326           1312       289.29       23.47        30.80       
k141_121848                    1456            155        34.18        23.47        36.80       
k141_156092                    31683           3371       743.29       23.46        35.40       
k141_22713                     9886            1051       231.74       23.44        44.30       
k141_31274                     5181            550        121.27       23.41        35.40       
k141_34773                     25162           2672       589.17       23.41        30.00       
k141_25371                     80022           8469       1867.38      23.34        30.90       
k141_123313                    1656            175        38.59        23.30        26.40       
k141_165584                    1212            128        28.22        23.29        42.00       
k141_36313                     1014            107        23.59        23.27        40.20       
k141_33436                     9140            960        211.68       23.16        29.40       
k141_25089                     1439            151        33.29        23.14        26.40       
k141_164151                    1212            127        28.00        23.10        39.60       
k141_42578                     7018            735        162.06       23.09        48.20       
k141_69269                     5458            571        125.90       23.07        37.90       
k141_177884                    1837            192        42.34        23.05        30.80       
k141_56540                     58826           6129       1351.42      22.97        35.10       
k141_94947                     6135            639        140.90       22.97        29.80       
k141_134903                    1146            119        26.24        22.90        42.00       
k141_157533                    6923            719        158.54       22.90        24.60       
k141_161484                    7057            732        161.40       22.87        47.10       
k141_139825                    13117           1360       299.88       22.86        32.10       
k141_78596                     6815            706        155.67       22.84        38.20       
k141_170816                    8856            917        202.20       22.83        31.20       
k141_153250                    1470            152        33.52        22.80        29.60       
k141_60                        1606            166        36.60        22.79        26.00       
k141_50788                     32364           3343       737.12       22.78        40.60       
k141_7904                      1763            182        40.13        22.76        22.70       
k141_106957                    1008            104        22.93        22.75        40.40       
k141_110361                    6854            707        155.89       22.74        37.10       
k141_38992                     8014            826        182.13       22.73        33.60       
k141_89793                     1009            104        22.93        22.73        55.20       
k141_154901                    2419            249        54.90        22.70        30.50       
k141_166411                    1769            182        40.13        22.69        30.80       
k141_56944                     1061            109        24.03        22.65        45.40       
k141_107679                    2153            221        48.73        22.63        30.30       
k141_70372                     1502            154        33.96        22.61        23.00       
k141_39338                     5074            520        114.66       22.60        28.00       
k141_138781                    2566            263        57.99        22.60        25.90       
k141_149685                    16158           1651       364.04       22.53        33.90       
k141_178160                    3316            338        74.53        22.48        34.80       
k141_17130                     4783            487        107.38       22.45        29.40       
k141_170819                    3591            365        80.48        22.41        31.00       
k141_118670                    1498            152        33.52        22.37        27.20       
k141_101615                    1747            177        39.03        22.34        40.00       
k141_40216                     1145            116        25.58        22.34        50.00       
k141_115636                    1720            174        38.37        22.31        50.00       
k141_156415                    1748            176        38.81        22.20        40.50       
k141_119303                    1205            121        26.68        22.14        34.40       
k141_5381                      13539           1359       299.65       22.13        29.30       
k141_78257                     5928            595        131.20       22.13        34.20       
k141_156897                    5290            530        116.86       22.09        32.50       
k141_93801                     3296            330        72.76        22.08        28.80       
k141_164232                    2122            212        46.75        22.03        23.60       
k141_143806                    9478            946        208.59       22.01        48.60       
k141_34446                     3840            382        84.23        21.93        39.20       
k141_110581                    1119            111        24.48        21.87        33.50       
k141_143472                    1083            107        23.59        21.78        29.10       
k141_733                       1307            129        28.44        21.76        25.10       
k141_79549                     2756            272        59.98        21.76        48.30       
k141_48103                     1095            108        23.81        21.75        35.10       
k141_98251                     2376            234        51.60        21.72        30.70       
k141_106867                    1022            100        22.05        21.57        42.20       
k141_152429                    1208            118        26.02        21.54        25.00       
k141_165150                    12056           1178       259.74       21.54        32.80       
k141_70352                     1670            163        35.94        21.52        36.60       
k141_179991                    4408            430        94.81        21.51        27.90       
k141_4512                      1088            106        23.37        21.48        28.80       
k141_16608                     2630            256        56.45        21.46        25.90       
k141_3429                      2323            226        49.83        21.45        28.10       
k141_44316                     1019            99         21.83        21.42        47.70       
k141_43258                     9301            902        198.89       21.38        41.60       
k141_132375                    3064            297        65.49        21.37        31.40       
k141_2302                      3563            345        76.07        21.35        33.60       
k141_96138                     1870            181        39.91        21.34        45.70       
k141_119977                    2791            270        59.53        21.33        29.80       
k141_169461                    14243           1377       303.62       21.32        36.90       
k141_111374                    1521            147        32.41        21.31        31.70       
k141_13723                     7022            678        149.50       21.29        43.80       
k141_178437                    6357            612        134.94       21.23        27.90       
k141_2418                      1009            97         21.39        21.20        30.40       
k141_179810                    1165            112        24.70        21.20        45.40       
k141_126468                    2186            210        46.30        21.18        40.20       
k141_163951                    6111            587        129.43       21.18        29.70       
k141_97338                     4784            459        101.21       21.16        33.40       
k141_24099                     8419            807        177.94       21.14        37.00       
k141_160426                    4331            414        91.29        21.08        23.60       
k141_134070                    1444            138        30.43        21.07        43.00       
k141_67390                     8623            823        181.47       21.04        30.00       
k141_6552                      3821            364        80.26        21.01        42.90       
k141_86986                     1338            127        28.00        20.93        49.00       
k141_141882                    3192            303        66.81        20.93        21.60       
k141_27956                     1129            107        23.59        20.90        45.50       
k141_139474                    1456            138        30.43        20.90        33.00       
k141_179759                    8766            830        183.01       20.88        34.40       
k141_169737                    1647            156        34.40        20.88        69.10       
k141_144367                    1057            100        22.05        20.86        33.30       
k141_121464                    5983            566        124.80       20.86        55.60       
k141_49335                     4166            394        86.88        20.85        29.30       
k141_27890                     8238            779        171.77       20.85        30.80       
k141_151175                    11757           1111       244.97       20.84        40.00       
k141_167177                    1910            180        39.69        20.78        47.50       
k141_111441                    5338            503        110.91       20.78        38.10       
k141_33300                     3327            313        69.02        20.74        24.70       
k141_6277                      6101            574        126.56       20.74        30.00       
k141_119474                    8422            791        174.41       20.71        30.70       
k141_118999                    8462            794        175.07       20.69        30.30       
k141_19615                     17117           1606       354.12       20.69        28.50       
k141_22929                     1365            128        28.22        20.68        37.80       
k141_105641                    9037            847        186.76       20.67        27.90       
k141_53728                     6582            617        136.05       20.67        29.90       
k141_6214                      5784            541        119.29       20.62        42.20       
k141_69608                     12039           1126       248.28       20.62        24.50       
k141_21382                     5227            488        107.60       20.59        22.30       
k141_180855                    1061            99         21.83        20.57        27.80       
k141_29737                     1118            104        22.93        20.51        31.10       
k141_17262                     1044            97         21.39        20.49        88.90       
k141_172321                    8609            800        176.40       20.49        21.70       
k141_160178                    6225            578        127.45       20.47        27.20       
k141_51454                     6399            594        130.97       20.47        29.90       
k141_92374                     6413            595        131.20       20.46        33.70       
k141_63568                     12685           1177       259.52       20.46        50.70       
k141_119363                    1295            120        26.46        20.43        31.00       
k141_162328                    9942            921        203.08       20.43        46.60       
k141_104010                    5379            498        109.81       20.41        67.50       
k141_85316                     1795            166        36.60        20.39        36.30       
k141_75645                     7386            683        150.60       20.39        52.30       
k141_142379                    1082            100        22.05        20.38        36.30       
k141_34376                     1656            153        33.74        20.37        37.00       
k141_157846                    3036            280        61.74        20.34        34.00       
k141_87994                     9009            831        183.23       20.34        33.30       
k141_141704                    14178           1307       288.19       20.33        33.30       
k141_1613                      1740            160        35.28        20.28        29.80       
k141_38235                     1892            174        38.37        20.28        28.60       
k141_176202                    1229            113        24.92        20.27        36.60       
k141_2975                      4095            376        82.91        20.25        26.10       
k141_117961                    2125            195        43.00        20.23        23.10       
k141_8313                      1090            100        22.05        20.23        43.10       
k141_54483                     10315           946        208.59       20.22        32.00       
k141_154319                    1407            129        28.44        20.22        41.90       
k141_69110                     4354            399        87.98        20.21        45.20       
k141_125726                    15431           1414       311.78       20.20        35.10       
k141_82697                     4563            418        92.17        20.20        39.70       
k141_78950                     3925            359        79.16        20.17        22.10       
k141_133110                    7217            660        145.53       20.16        59.10       
k141_134367                    4226            386        85.11        20.14        34.20       
k141_72220                     4643            424        93.49        20.14        30.60       
k141_148925                    8162            745        164.27       20.13        34.90       
k141_60034                     11367           1037       228.65       20.12        40.40       
k141_118182                    7801            709        156.33       20.04        36.30       
k141_22866                     3050            277        61.08        20.03        39.60       
k141_34852                     4489            407        89.74        19.99        56.30       
k141_71127                     2725            247        54.46        19.99        30.40       
k141_175273                    6024            546        120.39       19.99        44.30       
k141_119661                    1810            164        36.16        19.98        32.00       
k141_174602                    9794            887        195.58       19.97        29.50       
k141_54471                     6143            556        122.60       19.96        29.40       
k141_123164                    6621            599        132.08       19.95        26.90       
k141_114770                    1404            127        28.00        19.95        49.60       
k141_83309                     18351           1656       365.14       19.90        27.30       
k141_67815                     4091            369        81.36        19.89        41.00       
k141_108043                    3559            321        70.78        19.89        29.10       
k141_56145                     1242            112        24.70        19.88        43.70       
k141_66116                     5253            473        104.29       19.85        36.60       
k141_76636                     1255            113        24.92        19.85        33.00       
k141_149284                    5970            537        118.41       19.83        27.20       
k141_86187                     2946            265        58.43        19.83        39.60       
k141_128998                    35091           3155       695.67       19.82        62.90       
k141_56719                     5553            499        110.03       19.81        32.30       
k141_137825                    23519           2113       465.91       19.81        31.30       
k141_126403                    1825            164        36.16        19.81        28.50       
k141_114025                    1370            123        27.12        19.80        28.10       
k141_73110                     7478            671        147.95       19.79        34.70       
k141_99496                     4113            369        81.36        19.78        39.00       
k141_64305                     10951           982        216.53       19.77        26.50       
k141_60717                     3895            349        76.95        19.76        26.10       
k141_78114                     1752            157        34.62        19.76        48.10       
k141_152207                    4565            409        90.18        19.76        31.40       
k141_115294                    3604            323        71.22        19.76        29.70       
k141_140344                    1217            109        24.03        19.75        41.70       
k141_172916                    2981            267        58.87        19.75        34.10       
k141_123303                    6867            615        135.61       19.75        41.40       
k141_148257                    14036           1256       276.94       19.73        31.80       
k141_21492                     2360            211        46.52        19.71        26.80       
k141_159514                    12019           1072       236.37       19.67        35.40       
k141_46227                     22494           2006       442.32       19.66        40.00       
k141_23618                     11764           1049       231.30       19.66        29.50       
k141_76076                     9256            825        181.91       19.65        34.40       
k141_176252                    5981            533        117.52       19.65        33.30       
k141_62978                     7608            677        149.28       19.62        34.50       
k141_178578                    9676            861        189.85       19.62        37.50       
k141_9491                      1789            159        35.06        19.60        31.20       
k141_148951                    1341            119        26.24        19.57        33.30       
k141_177746                    3695            328        72.32        19.57        30.30       
k141_18084                     4182            371        81.80        19.56        25.80       
k141_5147                      7026            623        137.37       19.55        32.30       
k141_84369                     2347            208        45.86        19.54        25.60       
k141_90822                     3419            303        66.81        19.54        24.90       
k141_165642                    3444            305        67.25        19.53        36.90       
k141_35710                     1819            161        35.50        19.52        32.20       
k141_56407                     10493           929        204.84       19.52        35.00       
k141_2286                      3910            346        76.29        19.51        53.40       
k141_7428                      9662            855        188.52       19.51        29.60       
k141_71442                     7266            643        141.78       19.51        33.70       
k141_74262                     2658            235        51.82        19.49        33.30       
k141_119994                    4491            397        87.54        19.49        32.10       
k141_150567                    1414            125        27.56        19.49        35.70       
k141_148032                    5672            501        110.47       19.48        26.60       
k141_152907                    6139            542        119.51       19.47        35.90       
k141_102764                    4169            368        81.14        19.46        23.70       
k141_77325                     2448            216        47.63        19.46        50.40       
k141_119648                    8367            738        162.73       19.45        41.40       
k141_101613                    13553           1195       263.49       19.44        28.70       
k141_151541                    2328            205        45.20        19.42        27.00       
k141_1636                      10419           917        202.20       19.41        34.90       
k141_179276                    1092            96         21.17        19.38        42.20       
k141_61054                     11247           988        217.85       19.37        27.70       
k141_138405                    4930            433        95.47        19.37        26.40       
k141_141524                    1025            90         19.84        19.36        38.20       
k141_65643                     1299            114        25.14        19.35        42.60       
k141_59811                     3659            321        70.78        19.34        30.10       
k141_165907                    6953            610        134.50       19.34        46.50       
k141_136887                    8495            745        164.27       19.34        43.30       
k141_140942                    8638            757        166.92       19.32        28.60       
k141_24452                     1290            113        24.92        19.31        52.40       
k141_68986                     5379            471        103.85       19.31        29.70       
k141_66981                     3748            328        72.32        19.30        31.00       
k141_149102                    16685           1460       321.92       19.29        31.40       
k141_114570                    4702            411        90.62        19.27        28.70       
k141_115386                    20962           1831       403.73       19.26        51.40       
k141_25989                     20894           1825       402.41       19.26        38.20       
k141_42060                     1169            102        22.49        19.24        48.90       
k141_23977                     5793            505        111.35       19.22        27.80       
k141_117467                    9669            843        185.88       19.22        42.70       
k141_10773                     35678           3105       684.64       19.19        27.70       
k141_33869                     31762           2764       609.45       19.19        26.90       
k141_174567                    11715           1019       224.69       19.18        27.60       
k141_77782                     1092            95         20.95        19.18        21.60       
k141_151020                    10426           907        199.99       19.18        42.60       
k141_121808                    1036            90         19.84        19.16        30.20       
k141_127986                    1508            131        28.89        19.15        40.40       
k141_40431                     1013            88         19.40        19.15        43.80       
k141_171219                    14265           1238       272.97       19.14        38.40       
k141_102476                    7089            615        135.61       19.13        24.30       
k141_124656                    3794            329        72.54        19.12        28.90       
k141_165803                    3531            306        67.47        19.11        39.80       
k141_137134                    1835            159        35.06        19.11        28.20       
k141_161965                    1650            143        31.53        19.11        27.50       
k141_94762                     3717            322        71.00        19.10        27.40       
k141_73188                     2020            175        38.59        19.10        24.40       
k141_35422                     11420           987        217.63       19.06        43.20       
k141_49497                     1424            123        27.12        19.05        27.80       
k141_25243                     2085            180        39.69        19.04        26.80       
k141_84361                     13845           1194       263.27       19.02        45.60       
k141_125135                    4780            412        90.84        19.01        37.70       
k141_151985                    1659            143        31.53        19.01        47.50       
k141_145321                    14119           1216       268.12       18.99        24.00       
k141_156523                    11491           989        218.07       18.98        30.20       
